pdf_name,page_no,akkadian_text,translation,confidence,status
,0,,,0.0000,
AKT 7a.pdf,154,"KIŠIB Puzur4-A-šur DUMU ZU-na-da
KIŠIB A-la-hi-im DUMU I-dí-Sú-en6
KIŠIB A-na-ah-DINGIR DUMU Sà-ba-sí-a
5. KIŠIB Ša-lim-A-šur a-hi-šu
ša 15 ma-na KÔBABBAR ܈a-ru-pá-am
i-܈é-er A-bu-um-DINGIR
ú Ša-lim-A-šur A-šur-SIPA
K. i-šu-ú iš-tù ha-muš-tim
10. ša A-šur-be-el-a-wa-tim
A.y. ù A-gu5-za a-na
40 ha-am-ša-tim i-ša-qú-lu
šu-ma i-na u4-mì-šu-nu ma-al-ú-tim
lá iš-qú-lu 1 ò GËNTA
15. i-na ITI.KAM a-na 1 ma-na-im
ú-܈ú-bu KÔBABBAR i-qá-qá-ad
šál-mì-šu-nu ú ke-ni-šu-nu
ra-ki-is ta-ah-sí-is-tum
K. a-ni-tum me-eh-ra-at
20. ܒup-pì-im ha-ar-mì-im
S.K. ša hu-bu-ul
A-bu-um-DINGIR
ú Ša-lim-A-šur",122                                      S. BAYRAM-R K8Z8OĞL8,0.9000,OK
AKT 7a.pdf,154,"$EED¶QÕQ2÷OX$EXP-LOƯ¶QLQ0HWLQOHUL
Aššur-rē’ī’nin Abum-ilī ve kardeşi Šalim-Aššur’da alacaklı olduğu 1 mina gümüş hakkındaki tarihlemenin hafta adı ile yapıldığı  haItalık v۲desi ve   I۲iz oranı olan senedinin nüshasıdır Borçtan borçlunun sağ olanları ve varisleri de sorumlu tutulmuştur
KIŠIB A-bu-um-DINGIR DUMU Ab-ba
1-5 Suen-nƗdƗ’nın oğlu Puzur-Aššur’un mührü İdī-Suen’in oğlu Ali- ahum’un mührü SabbƗsiya’nın oğlu Anah-ilī’nin mührü Abba’nın oğlu",No. 38: Kt 88/k 121 %RUoVHQHGLQVKDVÕ,0.6236,OK
Michel_2008_MDargaA.pdf,18,"1. 20-23 : mi-ma a a-di-nu-u-i-ni,
a-na A-ur-su-lu-li i-na tup-pi-im, a
i-i6-ku-ri-im, lá-pu-ut ; le texte sera le
n°1 1 d'un volume consacré aux
archives de Kuliya. Je remercie
K. R. Veenhof de m'avoir fait part de
cette référence.
29 Communication personnelle d'A.
Cavigneaux à Ch. Proust, cf. Proust
2007 : chapitre 8.3. Pour le signe ID
on peut consulter le site électronique
du dictionnaire sumérien de
Philadelphie : http://psd.museum.
upenn.edu/epsd/nepsd-frame.html.
La liste lexicale Hh IV mentionne
gi-ID-ma = i-i mi-nu-ti qui
pourrait être traduit par ""plateau de
bois À compter"" (MSL V 151, 1. 16),
gi-NiG.ID = u-tuk-ku, ma-hi-sa-a-
tum que l'on est tenté de rendre par
""abaque"" (MSL V 152, 19-20). Pour
une étude de ces termes, cf.
Lieberman 1980 : 346-347.
30 Finkel 1995. Selon Robson 2001
et 2002, la maison F de Nippur, dans
laquelle de nombreuses tablettes
scolaires ont été découvertes, recelait
également les fragments d'un plateau
de jeu à 20 cases du méme style que
celui du jeu d'Ur. Pour une bibliogra-
phie récente sur les plateaux de jeux
au Proche-Orient ancien, voir Dunn-
Vaturi et Schädler 2006 : p. 20-23.",28 Il s'agit du texte Kt 92/k 233,0.9000,OK
NABU (missing 1999 no.2).pdf,730,"am I9. Juni 1993 geplant, AOAT 240, (sous presse) : A.2435 : 13 qui éclaire ARM III 68 : 19, et 1'inédit A.965 :","Karen R. NEMET-NEJAT (12-08-94)
120 Hampshire Road
BRONXVILLE, N.Y. 10708 USA
Dominique CHARpIN (24-08-94)",0.4399,OK
NABU (missing 1999 no.2) (2).pdf,85,"N.A.B.U. 1988 (n°1-mars)
subsiste de savoir s'il s'agit d'un titre civil ou religieux, bien qu'il penche plutôt pour cette demière
solution. Tout récemment enfin, R. J. van der Spek (Grondbezit in het Seleucidische Rijk, 1986, p. 80 sq.) a
repris l'ensemble de la question et proposé que le a rês li soit une fonction religieuse, et que l'assemblée
II éprouve cependant quelque difficulté à rendre compte d'une attestation de Nippur, soit TEBR n°2
(= AO 17641) qui mentionne une communauté de feudataires portant ce titre, appelés ""lú ha-dar á lú-sag uru-
a"" (18-v-année 37 d'Artaxerxès II: corriger en ce sens la datation de Van der Spek, p. 80; le texte
appartient aux archives de Ninurta-ahhê-bullit, fils de Bêlunu, attesté de manière sûre sous Artaxerxès Ⅲ).
Malgré le caractère atypique de l'attestation, il s'agit bien ici encore d'une fonction religieuse, comme le
prouve un autre texte, AO 17623 (= TBER pl. 46, même archive que AO 17641). On y trouve un inventaire
des différents produits utilisés pour une ou plusieurs cérémonies dont le titre n'est pas précisé, avec la
On notera enfin la très intéressante mention de TuM 2/3. 266: 6 (Nippur, année 3 de Artaxerxès I
ou Ⅲ): [...ana ]kal-a u lú-un-fl-me-sú lú-sag uru-a áé u-me-a4 sum, soit: <remis à Damqiya et à ses
kinattâtu, Sa rê ali de l'Eumea l. Le terme de a rês ali désigne donc clairement une fonction à l'intérieur
du temple, l'ensemble de la formule de TuM 2/3, 266 se trouvant éclairé par le parallèle d'un autre contrat de
même époque, et provenant également de Nippur, TuM 2/3, 211 : 25 sq. : ...u mim-ma á ik-kas-Si-du ana
gi-ub-ba lú-bappir-ú-tu mu-me it-ti lú-un-fl-me-ú-nu lú-bappir-me dumu-me s Iab-sum-mu a-na u-mu
L'alternance (qui ne signifie pas l'équivalenc) entre ""lú-sag uru-a  é-u-me-a,"" et ""lú-bappir-me
dumu-me á Iab-sum-mu"" montre que le personnel qualifié de a rês ali à Nippur à l'époque achéménide
participait au culte régulier. Il était rétribué par la possession d'un fief pour l'exploitation duquel il était
regroupé en hadru. Il est fort probable que la fonction était de même nature à Uruk sous les Séleucides, et que
le Rab Sa rê ali Sa bit ilâni a Urukki est à considérer comme le ""Chef du Clergé des Temples d'Uruk"".
11) Die 5 Schreibungen des Namens der Stadt IBuBu in den Ebla-Texten - A. Archi liest in
ARET 1, S.268 i-buy-buki / i-buy-íbki und begründet dies S.220 Anm.3 mit der Variante i-bu-íbki in mehreren
Texten. G. Pettinato, Ebla, Nuovi orizzonti della storia (Milano, 1986), 377f. zieht die Lesung i-lí-buki / i-
li-ibki vor und stützt sich dafür auf ARET 3, 159 VI 2 mit i-li-biki. I-bu-TUM behandelt er als eigene Stadt
Bei der Uberprüfung der Belege für den Ort i-li-bí/NEki (z.B. ARET 8, 521, 8; 523, 31; 526. 20;
529, 2, 27, 30; 538, 14; 540, 11, 34; 541, 23) lässt sich feststellen, dass es sich um eine andere Stadt
handeln muss, denn dort gab es keinen König (en). Die Texte nennen nur einen u g ul a und Händler (lú-
k a r) und der Kontext, in dem sie und ihr Heimatort erwähnt werden, ist stets völlig anders als bei i-NI-
Die Gleichsetzung von i-NI-bu/íbki mit i-bu-íbki durch A. Archi lässt sich durch weitere Texte
bestätigen. Man vergleiche etwa die Belege fur i-NI-bu/bki aus ARET 1, 1 XII 6ff., 3 IV 10ff., 4 IV 4ff., 5 V
12ff., 6 IV 6ff. usw. (s. Index S. 268) mit den Texten aus einem anderen Archiv. Dort findet man in der
Regel die Schreibung i-bu-íbki (ARET 8, 523, 6; 524, 30; 529, 45; 532, 16; i-NI-bu/íbki ist seltener:
Aus einem dritten Archiv stammt die Schreibung i-NE-bu-NIki (MEE 1, 41 Rs. I 6, 169 ⅡI 1, 209 I
12). In dieser Stadt ist auch ein König (e n) tätig (Ebla, Nuovi orizzonti della storia, 378). Was die Identität
dieser Stadt mit i-NI-bu/ibki jedoch beweist, ist die Anordnung des Ortsnamens in vergleichbaren Texten. In
MEE 1, 209 I 1ff. findet man: Ra'ak, Burman, Tub, Imar, Lumnan, I-NE-bu-NI, Ursa'um, Garmu und
[Gudadanum] (mit geringen Abweichungen auch MEE 1, 41 ⅡI 1ff., 169 I 1ff.). ARET 1, 32 I 3 - IV 3 nennt
z.B. die Könige dieser Städte in der Reihenfolge: Ra'ak, Burman, Tub, Imar, Garmu, Lumnan, I-bu-íbki,
Ursa'um, Gudadanum und ibid. 9 I 2 - IV 10 Ra'ak, Burman, Tub, Imar, [Garmu], Lumnan, I-bu-ibki, Ursa'um,
Für diesen Ortsnamen gibt es demnach 5 Schreibungen, die man m.E. in folgender Weise
i-buy-bu
i-buy-b
i-bu-ib
i-bu-buy
i-bi-bubuy (oder i-bi-bubuy).
-7","des gens portant ce titre constitue une sorte de ""Collège du Temple"".
mention, col. iii, 1. 9: ana sum ana lú-sag uru-a, < à donner au a rês li>.
1. Pour l'équivalence lú-un-iíl = kinattu, cf. CAD K, 381 a.
528, 7; 531, 13; nur einmal begegnet i-bu-NIki 525, 40).
=
=
=
=
=",0.6063,OK
"ICK 4 (Prag), 1998.pdf",30,"a-na Be-lúm-ba-ni / gí-bi4-ma
um-ma Ta-ri-a-ma
TÚG / i-tí / túGba-ti-kà-ma
na-á-ú-ni-kum / sú-ba-at","36
dem Enna-Asur, Sohn von Enna-Su'en, beim Dolch des Assur schwören sollte und Puzur-
Itar dann seine Stoffe hätte nehmen dürfen
Aussage, wollte nicht schwören und reiste ab-,
tab, und Enna-Aur, Sohn von Enna-Su'en, 3 informierte Geldgeber der Karawane zur
Stadt packen. Diese werden dann die Stoffe inspizieren, ihren Preis notieren, und dann
dürfen Iddi(n)-abum und Enna-Aur Silber im Wert der Stoffe nehmen. 26-33)Die Tafel
mit dem Rechtsspruch des Karum Kani klein (und) groB bezüglich des Schwurs des
Puzur-Itar wird der Schreiber dem Iddi(n)-abum und Enna-Aur aushändigen.
Anmerkungen:
Z. 5) Die Einfügung von <a> wird notwendig, weil die Zeilen bis Z. 11 einschlielich
den Wortlaut des ,,früheren Urteils"" wiedergeben und die Verben i-ta-mu-ui-ma ... i-lá-
qé- im Subjtv. stehen. Der so entstandene Rel.-Satz wird dann, wenn auch unter Aufgabe
der Konstruktion, formal bis in Z. 15 fortgesetzt.
Z. 18-20) pá-tù-ú-tim ist als Verb.-Adj. eher D- als G-Stamm (pattu'uttim, nicht pa-
ti'uttim). Zur Bedeutung vgl. AHw. 861a s.v. petú(m) D 11c.
braune Tafel, 7,7 x 5,4 x 2,3 cm; Kopie Tafel XVIII.
Brief: Tara beklagt sich bei Belum-bni, wohl ihrem Ehemann, über die Behandlung,
die ihr von diesem und seinen Eltern zuteil wird. Zahlreiche Einzelheiten bleiben wegen
offensichtlicher Schreibfehler und hapax-Worten unklar.
Vs.",0.9000,OK
"ICK 4 (Prag), 1998.pdf",30,"i-na É a-bi4-kà / ú-lá i-ta-ad-nu-nim
u4-ma-am / e-am á-ta-na-am
u4-ma-am / té-ta-n?-!7-ir!-ma ·
tup-pè-e /a-na um-mì-kà
tù-u-té-né-ba-lam
um-ma a-ta-ma / u-ma É a-bi4-a
t[a]-lá-ak / té-er-tí-ki / li-li-kam
pa-ra-ás É a-bi4-kà lá tí-de8-ma
tup-pá-am a ta-á-pu-ra-ni
a-na <a>-bi-a um-ma / a-ta-ma
ma-l / a-ku-li-ki / É a-bi4-a
lá ma-s / ma É a-bi4-ki
ta-t-ta-lá-ki / ba!?-ri-ti
ta-á-me-ma / tup-pá-am i-té-en
a-na a-bi4-a  um-mì-kà
tù-é-bi4-lam u4-ma-am i-tù
i-í ú qá-tí-a ag-mu-ru
É a-bi4-kà i-tù i-í ú qá-tí-a
ag-mu-ru-ni / i-na e-im
i?-ta-ú-mi-im ag-mu-ru-i
i-na ITU.1.KAM <<a>> qá-ra-a-tim
e-am GíN.TA i-dí-nu-nim
 i-kà-ra-am / e-pá-u-nu-t
a-bi4 / iq-bi4-a-kum-ma um-ma u-ut-ma
mì-nam a-na su-ha-ar-tim
té-zi-ib um-ma a-ta-ma
zi-iq-na-am lá za-qú-na-ku-ma
hu-ur- / é-u-ra-am
l <a>-le-e u-ma-me-en6
l É a-bi4-a / a-e-a-me-en6
a-lik a?-am-na-a / a té-zi-ba-ni
a-na pì-ta-í-a /  TúG a-na li-tab-í-a
12)An Belum-bni, folgendermaBen Taria: 2-9)Einen Stoff bringen sie dir zusammen
mit deinen Stoffen. Ein Kleid von mir selbst zog ich aus und schickte ich dir! Wenn du
nicht herkommen kannst, schicke mir den Preis meines Kleides mit dem ersten Boten!
10-12)Gerade du weiBt doch in deinem Herzen, was du mir überliet. Auch (die Sache mit)
mein(em) Kleid weiBt du. 13-15)Was die Gerste betrifft, die du mir versprochen hast, so
 16-17)Den einen Tag kaufe ich im-
mer wieder Gerste, den anderen Tag nimmst du (sie) wieder weg.
18-21)Und dann schickst
du immer wieder deiner Mutter Tafeln folgenden Inhalts her: ,,Wenn sie zum Haus ih-
res Vater geht, möge dein Bescheid zu mir kommen"". 22)Weit du denn nicht von der
Trennung des Hauses deines Vaters? 23-27)Was die Tafel betrifft, die du mir -an meinen","20
u. K.
Rs.",0.3581,OK
Yilmaz_2007_mahkeme kayitlari ile ilgili.PDF,6,"ilmi para olmad1 için tadmiqtum'dan ayrilmaktadr. AKT I s. 22 vd. no. 6;
St. 9) baltum ""yaamak, emin ekilde tutmak, teslim etmek"" anlamlar1
Bir eein fiati olan 10 mina kalayin, ister Kani'te, ister Puruhattum'da
necei ile ilgili Kani-Krum'unun kararinin bildirildii bir mahkeme kayddr.
inde babalarnin isimleri de yazilan iki ahit bulunmaktadr.
I-li-ba-ni MAKIM
a A-ta-ta / Lá-qi-pu-um
ù Ma-nu-um-ba-lim-A-ùr
is-bu-tu-ni-a-ti-ma
10 ma-na AN.NA / i-im
ANE a A-ur-dUTUsi
DUMU ú-sú-a /i-nu-mi
me-er-ú / A-ta-ta
i-a-qú-lu-ni
Ma-nu-um-ba-lúm-A-ur
DUMU A-ur-ma-lik
10 ma-na AN.NA
a-na me-er-e
A-ta-ta / i-a-qal
lu i-na Kà-ni-i
lu i-na Pu-ru-u-ha-tim
a-na a-wa-tim a-ni-a-tim
kà-ru-um Kà-ni-i
i-di-ni-a-ti-ma
IGI GÍR Sa A-ur
i-bu-ti-ni /ni-di-in
IGI A-ùr-ba-ni <DUMU> I-ku-pi-a
IGI A-ur-i-di
DUMU A-mur-A-ur
U-sú-a /kà-sa-ar
I-ku-nim / ta-pá-i-ni","HW s. 124 a.
evcuttur. ubalit II pres. Formdadr.",0.5733,OK
Roche_Prosopography_v2.pdf,78,"(1) Yanhamu, fils de Napakku
(2) Yanhamu, fils de Ginatanu
Nous pouvons avancer deux hypothèses :
pour l'autre, un nom de personne féminin 306.
verbe (w)ablu est au singulier (3ème p.) :
Cf. la proposition de J. Nougayrol présentée en Introduction.
grande dame > ou encore < soeur de aukamuwa, roi d'Amurru ».
rmy(y) >, < dumu ramiya > ou encore, < dumu mí ramiya >.","pouvant être confondus304.
3.4.2.2. Taghulinu",0.6031,OK
