,text,orientation,language,mean_confidence,used_original_text,time,scale
0," 
 
 
 
 
 
 
 
 
Copyright 
by 
Deborah Newton Carlson 
2004 
 
 
",,eng,,True,1648426886.119933,
1," 
 
 
The Dissertation Committee for Deborah Newton Carlson certifies that this 
is the approved version of the following dissertation: 
 
Cargo in Context: The Morphology, Stamping, and Origins of the 
Amphoras from a Fifth-Century B.C. Ionian Shipwreck 
 
 
Committee: 
 
Lisa Kallet, Supervisor 
George F. Bass 
John H. Kroll 
Mark L. Lawall 
Paula J. Perlman 
 
 
 
",,eng,,True,1648426886.124232,
2,"Cargo in Context: The Morphology, Stamping, and Origins of the 
Amphoras from a Fifth-Century B.C. Ionian Shipwreck 
 
 
by 
Deborah Newton Carlson, B.A., M.A. 
 
 
Dissertation 
Presented to the Faculty of the Graduate School of  
The University of Texas at Austin 
in Partial Fulfillment  
of the Requirements 
for the Degree of  
 
Doctor of Philosophy 
 
 
 
The University of Texas at Austin 
August, 2004
",,eng,,True,1648426886.126007,
3," 
UMI Number: 3142702
 
 
 
 
 
 
 
 
 
 
 
 
 
Copyright 2004 by 
 Carlson, Deborah Newton
    
All rights reserved. 
 
 
 
 
 
 
 
 
 
________________________________________________________ 
 
UMI Microform 3142702
Copyright 2004 ProQuest Information and Learning Company. 
All rights reserved.  This microform edition is protected against 
unauthorized copying under Title 17, United States Code. 
____________________________________________________________ 
 
 
ProQuest Information and Learning Company 
300 North Zeeb Road 
PO Box 1346 
Ann Arbor, MI 48106-1346 
",,eng,,True,1648426886.143869,
4," 
 
 
 
Acknowledgements 
First and foremost, I would like to thank George Bass for inviting me to assist in 
the direction and excavation of the Tektaş Burnu shipwreck, and providing me the 
opportunity to oversee the study and publication of the finds.  Secondly, I want to 
acknowledge Lisa Kallet and Mark Lawall, who were instrumental in helping me 
shape my analysis and maximize the potential of my data.  Their involvement has 
enabled me to understand this material in ways I never anticipated.  Jack Kroll 
and Paula Perlman have also made significant contributions toward the 
improvement of this work. 
 
My research was made possible by various fellowships including a 
William S. Livingston Graduate Fellowship and a David Bruton, Jr. Fellowship 
from the University of Texas at Austin.  Much of the field research presented here 
was conducted as a direct result of my receiving the 2003-04 Olivia James 
Traveling Fellowship from the Archaeological Institute of America.  I am deeply 
honored and appreciative to have held these prestigious awards.  
While in Athens, I spent some weeks in the storerooms of the Athenian 
Agora Excavations, and I would like to thank Director John Camp, Sylvie 
Dumont and Jan Jordan for making my time there so pleasant and productive.  I 
 
iv 
",,eng,,True,1648426886.150699,
5,"am equally grateful to Director Stephen Tracy for permitting me to conduct 
library research at the American School of Classical Studies in Athens.   
Owing to the professional kindness of Aris Tsaravopoulos, it was possible 
for me to spend a week examining the amphora material in the Chios 
Archaeological Museum, and Darejan Kacharava was a gracious host during a 
brief but very memorable visit to western Georgia. 
I extend my sincere thanks to Güven Bakır, Yaşar Ersoy, and Bilge 
Hürmüzlü of the Klazomenai excavations for providing access to, and information 
about, the many interesting finds from the site.  I have also benefited greatly from 
friendly discussions with Michael Kerschner and Elisabeth Trinkl of the 
excavations at Ephesos, and Alessandro Naso of the Miletos excavations.  Pierre 
Dupont has also been especially generous with his time and resources. 
In a recently-published volume on the economy of Hellenistic Greece, the 
study of transport amphoras is described as having a bibliography conducted in “a 
horrifying plethora of languages.”  Inasmuch as I know this to be true, I would 
like to thank Ayşe Atauz for her Turkish translations and Alexis Catsambis for his 
help with large sections of two important Greek sources.  Sergiy Zelenko of Kiev 
University kindly provided several hard-to-find articles in Russian and Ukrainian, 
which were subsequently translated by Brett Cooke and Taras Pevny, 
respectively.   
There have been so many talented people affiliated with the Tektaş Burnu 
shipwreck excavation, the Institute of Nautical Archaeology, and the Bodrum 
Museum of Underwater Archaeology that it is impossible for me to acknowledge 
 
v 
",,eng,,True,1648426886.158758,
6,"each of them individually.  Here, I limit myself to recognizing the fine work of 
Asaf Oron, Esra Altınaıt-Göksu, and Güneş Yaşar, who are wholly responsible for 
the successful cleaning, conservation and restoration of the Tektaş Burnu 
amphoras. 
While in Bodrum, I was assisted directly by Catharine Corder, who played 
a central role in the collection of volumetric data and cataloging of artifacts, and 
Kristine Trego, who produced many of the fine artifact photographs that appear in 
my dissertation.  The superb artifact illustrations are the work of Bilge 
Güneşdoğdu and Selma Ağar.  Though I was not lucky enough to have known 
Selma for many years, the quality and beauty of her character live on in her 
exceptional drawings. 
Finally, I would like to thank my parents, Marja and George Newton, and 
my husband John, who together have been a trinity of profound support and 
unfailing encouragement. 
 
 
vi 
",,eng,,True,1648426886.1633239,
7,"Cargo in Context: The Morphology, Stamping, and Origins of the 
Amphoras from a Fifth-Century B.C. Ionian Shipwreck 
 
Publication No._____________ 
 
 
Deborah Newton Carlson, Ph.D. 
The University of Texas at Austin, 2004 
 
Supervisor:  Lisa Kallet 
 
Between 1999 and 2001, underwater excavations off the western coast of 
Turkey at Tektaş Burnu brought to light new evidence for ancient Greek trade, in 
the form of a small merchant ship that was wrecked between 440 and 425 B.C.  
Chapter 1 summarizes the archaeological remains of the ship, which was carrying 
a cargo of wine, pine tar, and butchered beef contained in approximately 215 two-
handled clay jars known as transport amphoras, in addition to smaller quantities 
of East Greek pottery.   
The amphora cargo, which is the focus of Chapter 2, is comprised in part 
of about twenty Mendean, Chian, and Samian jars, as well as two other 
unidentified (North Aegean?) amphoras.  The vast majority (over 90%) of the 
jars, however, belong to a type that is presently not attributed to an individual 
Greek polis.  By weighing morphological characteristics, clay fabrics, regional 
 
vii 
",,eng,,True,1648426886.168591,
8,"styles, and the distribution of parallels from sixth- and fifth-century B.C. sites in 
the Mediterranean and Black Seas, I conclude that the source of the unidentified 
amphoras from Tektaş Burnu is likely located in the South Aegean.   
This hypothesis is refined slightly in Chapter 3, which evaluates the 
presence of pre-firing stamps on a portion of the unattributed South Aegean 
amphoras.  Among the stamps is a lettered type featuring the Greek letters EPY, a 
designation that appears on later amphora stamps and coin types as the 
abbreviated ethnic of Ionian Erythrai.  The EPY stamp from Tektaş Burnu 
assumes particular importance as one of the earliest examples of the abbreviated 
ethnic stamp type, and its presence alongside other, less transparently meaningful 
stamp types in the same cargo provides a unique context for the evaluation of 
early Greek stamping practices.   
Finally, in Chapter 4, the Tektaş Burnu shipwreck is evaluated more 
generally against the archaeological evidence of five other Greek shipwrecks from 
the fifth and fourth centuries B.C., in an effort to draw some preliminary 
conclusions about ship size, cargo composition, and long and short-distance trade 
networks in the Classical Greek world. 
 
 
viii 
",,eng,,True,1648426886.1737542,
9,"Table of Contents 
List of Tables.........................................................................................................xii 
List of Figures ......................................................................................................xiii 
Chapter 1.  The Classical Greek Shipwreck at Tektaş Burnu 
Introduction....................................................................................................1 
Discovery .......................................................................................................2 
Cargo .............................................................................................................. 3 
The Vessel...................................................................................................... 8 
Chapter 2.  The Amphora Cargo of the Tektaş Burnu Shipwreck ........................12 
Introduction..................................................................................................12 
Mendean Amphoras .....................................................................................13 
Unattributed (North Aegean?) Amphoras....................................................18 
Chian Amphoras...........................................................................................22 
Samian and Samian-Milesian Amphoras .....................................................26 
Samian Amphoras ...............................................................................26 
Samian-Milesian Amphoras................................................................ 27 
Unattributed South Aegean Amphoras ........................................................ 31 
Introduction.........................................................................................31 
The Tektaş Burnu Assemblage ...........................................................32 
Distribution and Parallels: The Sixth Century ....................................36 
Distribution and Parallels: The Fifth Century.....................................40 
Clay Fabrics......................................................................................... 50 
The Question of Origin .......................................................................53 
A Southern Aegean Regional Koine ...................................................60 
Chapter 3.  The Amphora Stamps from Tektaş Burnu..........................................66 
Introduction..................................................................................................66 
 
ix 
",,eng,,True,1648426886.1824179,
