pdf_path	page_no	gold_text
data\input_pdfs\27_arastirma_3-libre.pdf	9	"Yüzey araştırmasına Prof.Dr. Kutlu Emre, Doç.Dr. Ryoichi Kontani,
Doç.Dr. Hiroomi Tsumura, Arkeolog Gökhan Turan, Arkeolog
Sabahattin Ezer, Arkeolog Emrah Çankaya ve öğrenci Michiko Katayama
katılmışlardır8
.
Projenin ilk sezonunda veri toplama metotlarının oluşturulması ve gelişmiş bir
“database” sisteminin kurulması öngörülmektedir. Bu nedenle, arazideki yüzey
araştırmalarından ziyade, özellikle dijital ortamda sistemin hazırlanarak Kültepe
kazısı ile birlikte ortak bir sunucuda verilerin depolanması ve araştırmacılara
sunulabilmesi için teorik ve deneysel çalışmalara ağırlık verilmiştir.
Bu kapsamda, örnek olarak seçilen araştırma güzergâhlarında ve yerleşim
alanlarında veri toplama metotları oluşturulmaya çalışılmıştır. Arkeolojik
olarak incelenen alanlarda, “mobil total station” ile dijital topograik
harita hazırlık modellenmesi ile alanın 360 ̊ görüntülenmesi çalışmaları
gerçekleştirilmiştir. Ayrıca, GPR yöntemi ile araştırılacak alanların yeraltı
radar görüntüleme çalışmaları için ön keşiler yapılmıştır.
2008 yılı Kayseri arkeolojik yüzey araştırması projesinin gerçekleştirilmesinde katkıları geçen
tüm kurum ve kuruluşlar ile yöneticilerine teşekkürlerimi sunarım. Başta Kültür ve Turizm
Bakanlığı Kültür Varlıkları ve Müzeler Genel Müdürü Sayın Orhan Düzgün olmak üzere,
Kazılar ve Müzeler Dairesi Başkanı Sayın Melik Ayaz, Kazılar Şubesi Müdürü Sayın Gökhan
Bozkurtlar ve Kazılar Şubesi Müze Araştırmacısı Şeniz Altunel’e teşekkürlerimi sunarım.
2008 yılı Kayseri arkeolojik yüzey araştırması Projesi T.C. Kültür ve Turizm Bakanlığı
DÖSİM Müdürlüğü ile Kayseri Valiliği, Kayseri Büyükşehir Belediyesi Başkanlığı tarafından
sağlanan maddi ve lojistik kaynaklarla gerçekleştirildi.
Kayseri Valisi Sayın Mevlüt Bilici çalışmalarımızı her aşamada destekledi. 2008 yılı Kayseri
Arkeolojik Yüzey Araştırması Projesi’nin başarıyla tamamlanmasında Sayın Vali Mevlüt
Bilici’nin bu desteği önemli bir rol oynadı. Kayseri Valisi Sayın Mevlüt Bilici ve Vali
Yardımcıları Sayın Fahri Oluk ve Sayın Mehmet Polat, Sayın Uğur Aladağ ve Sayın Turgay
Ergin’e teşekkürlerimi sunarım. Özellikle Sayın Vali Yardımcısı Fahri Oluk’un, Avrupa
Birliği projelerinden sağladığı maddî destek, bilimsel çalışmalarımıza yerel yöneticilerin
katılımı açısından örnek teşkil etmektedir. Ayrıca, Felahiye ilçesinde gerçekleştirdiğimiz
çalışmalarda bize hem maddî hem de manevî açıdan destek veren Felahiye Kaymakamı
Sayın Ahmet Gencer’e ekibim adıma teşekkür ederim.
Kayseri Müzesi Müdürlüğü, 2008 yılı Kayseri arkeolojik yüzey araştırması projesinin
gerçekleştirilmesi için her türlü katkıyı yaptı. Çalışmalarımızın sağlıklı bir şekilde
gerçekleştirilmesini sağlayan Kayseri Müzesi Müdürlüğü’ne başta Sayın Müdür Hamdi Biçer
olmak üzere tüm Müze çalışanlarına teşekkür ederim. Bakanlık Uzmanı olarak kazılarımızda
görev alan Serdar Okur’un katkıları sayesinde, çalışmalarımız çok daha sağlıklı bir şekilde
yürütülebildi. Kendilerine ayrıca teşekkür ederim."
data\input_pdfs\28_arastirma_3-libre.pdf	9	Felahiye İlçesi, Kepiç Köyü sınırları içinde yer almaktadır. Söz konusu yapının Geç Roma Çağı’na ait bir mezar anıtı olduğu bilinmektedir10 (Resim: 9). Bu yapının yanında doğal kaya üzerinde, Roma Çağı’na ait bir höyük yer almaktadır. Yapı, geçmişten günümüze değin define arayanların ve eski eser kaçakçılarının hedefi olmuş ve bu nedenle pek çok tahribata uğramıştır (Resim: 10). Yapının bir bölümü çökmüş; tonoz üst örtüsü ile arka cephesindeki alınlık penceresi yıkılmıştır. Yapının içindeki ayaklarca taşınan kemer sayesinde, tonozun yıkılması belli bir noktada, kemer hizasında durmuştur. Fakat tonozun çöküşü sırasında, kemerde de statik sorunlar oluşmuş, çökmeler başlamış; kemer tonozdan ayrılmış ve aşağıya doğru sarkmıştır (Resim: 11). Kemerin kilit taşı da dahil olmak üzere ortasındaki üç kemer bloğu parçalanmış ve yerinden kaymıştır. Bu blokların herhangi bir sarsıntı ya da zaman içindeki bozulmaları sonucunda, yerlerinden aşağıya düşmeleri neticesinde, öncelikle kemer tamamen çökecek, ardından yapının tonozundaki yıkılma devam edecek ve yapıdaki tahribat büyük ölçüde artacaktır. Mevcut durumu ile kemerdeki bozulmalar, yapıda ciddi bir çökme tehlikesi yaratmaktadır. Bu şekli ile yapının içine girilmesi can güvenliğini de tehdit etmektedir. Bu tehlikenin yanı sıra, yapıya müdahale edilmemesi durumunda meydana gelecek olası bir çökme, yapının yıkım sürecini başlatacağı gibi, bu çökmenin ardından yapılacak restorasyon da daha zor ve maliyetli olacaktır. Ayrıca böyle bir yıkım sonucu yapının özgünlüğü bozulacak olmasından dolayı yapı telafisi mümkün olmayan büyük bir zarara uğramış olacaktır. Bütün bu sebeplerden ötürü, bölge için eşsiz olan ve insan eliyle yapılan tüm tahribatlara rağmen halen ayakta duran bu anıtsal yapıya acil olarak müdahale edilmesi ve gerekli koruma önlemlerinin alınması gerekmektedir.
data\input_pdfs\AKT 1, 1990.pdf	21	"Bu metin, gözden geçirilecek olursa,
bunun mektup üslûbunda, yerli beylikler ve beylerle ilgili dikkate değer bilgileri ihtivâ eden
bir enteresan vesikâ olduğu görülür. Metnin başında Ili-idi'nin muhâtabı Uşur-sa Assur â,

kendisine hâvâle edilen maksat için saraya çekip haber ulaştırdığı ve hangi yerin kralı oldu-
ğu bildirilmeyen şahsen ""Dikkat edilmesi gerekli olan bir husûs ölçüsünde, verdiği sözü tu-
tacağı..."" belirtilmektedir. Burada ayrıca ayni kralın ""Altın (mevzûuna) ve Suluat'ın bana

gönderdiği habere gelince: Wahsusana'ya ayağinı basmamalısın! Purushattum, Usunala ve
Wahsusana rube' 'um'larına rabi sikkitim yemin edeceğine göre (o) buraya gelmesin! ...""
denmektedir.

Bu metindeki mühim olan noktalardan birisi KTP 14 ve f/k 183 (P. Garelli, Les Assyri-
ens en Cappadoce, s. 329 v.d.) metinlerinde şâhit olduğumuz gibi, yemin usûlünün sâdece

yerli beyler ve beyliklerle Kârum Dâireleri arasinda veyâ sâdece dînî mes'elelerde ve şâhit-
lik gibi hukuki işlerde cereyan etmiş olmasi yaninda, gerektikçe yerli kırallarla, yerli yük-
sek idâre kademesi mensupları arasinda da baş vurulmakta olan bir muamele ve bir teminat

usûlü olduğunun ortaya çıkmasıdır.
Bu bakimdan üzerinde dikkatle durulmasi gereken husûs, rabi sikkitim sıfatındaki yüksek
memûrun sira ile Purushattum, Usunala ve nihâyet Wahsusana kırallarının üçüne birden
yemin etmek durumunda olmasi ve yemin etmesidir.

Çok önceden Purushattum'un rubâ'um rabium'u yâni ""büyük kıralı"" bulunduğu (Lands-
berger, ArOr XVIII 1-2, s. 338; Hardy, AJSL 58, s. 177-216; Bilgiç, DTCFD VI, 5, s. 506)

bilindiğine göre, burada ilk defâ karşılaştığımız Usunala'nın kıralı ile öteden beri bilinen

Wahsusana'nın kıralının Purushattum büyük kırallığı çevresinde ona bağlı diğer kırallık-
lar olduklari kabûl edilmek gereklidir. Böylece, bu metne göre en azindan üçü birarada

olan bu büyük kırallık ve kırallıkların idari bir bütün teşkil ettikleri neticesine varilmasi
tabiîdir.
Söz konusu metnin 17-20. satırları, şimdiye kadar karşılaşmadığımız mat aria ""Saria

memleketi"" ve ""Sabuâ'iû = Sabua'lılar"" ifâdelerini ihtivâ etmesi itibâriyle de büyük ehem-
miyeti hâizdir. Bunlarin geçtiği fıkra aynen şöyledir: a-na-kam i-ma-at Sa-ar-la Sa-bu-a-i-
û 4a-ra-na-am û-kâ-i-lu-ni-a-ti-ma i-şa-âb-tù-ni-a-ti.... Sarla memleketinde Sabua'lılar bi-
ze yolu kapadılar ve bizi alıkoydular"". Bu ifâde yepyeni olarak hem ""Sarla memleketi"" hem

de Sabuâiû ""Sabua'lılar"" halk adini bize ifşâ ettikten başka, bir içtimâî hâdiseyi, bir reak-
siyonerlik hâdisesini de ortaya koymakta ve Sabua'lılar'ın devlete rağmen kendi kendileri-
ne bir yol kapatma ve tevkif hâdisesine cür'et ettiklerine işâret etmektedir.

Aşağıda bu, 78 No'lu dikkate değer metnin açiklanmasinda temas edildiği üzere, 19. sa-
tırda geçen Sabua'lılar'la ilgili 17-20. satırlar, yukarıda transkripsiyon ve tercümesini ver-
diğimiz şekilde okunmak ve bir tam cümle olarak alinmak durumundadır. K. Balkan'ın

Anum-Hinbi Mektubu, s. 66, n. 95, 4'de yaptıği şekilde bu cümle: a-na-kam i ma-at Sa-ar-
la sa Bu-a-i-û ha-ra-na-am û-kà-i-lu-ni biçimde subjonktif ve yarım bir cümle değildir. Bun-
dan dolayi da burada yer adi Bua (!) değil Sabua ve oraya izâfe edilen halk ise Sabuâ'iû'dur.

Bu cildimize ait yer adlari listesinde 10 No.lu, kalay ve kumaşlardan ibâret mallarin
şâhitler huzûrunda iâde edildiği yer olarak gösterilen Zu-ba-na yazılışlı yeni yer adi henüz

başka metinlerde geçmemiştir ve yeri hakkinda bir bilgi vermek de mümkün değildir. An-
cak başkaca da benzerleri görüldüğü üzere bu yer adi (YA), diğer iki metinde ayni yazılışla

şahıs adi (ŞA) olarak da görülmekte, bunlardan Ank. 14-1-180, 4'de Uswana'nın babasi ola-
rak geçmektedir. Bu tablet C. Günbattı tarafindan yeni olarak DTCFD XXXI, 1-2 (Cumhu-
riyetin 60. Yıldönümü Armanağı, 1987), s. 190 da neşredilmiştir. Şahıs adi olarak geçtiği

ikinci yer ise TC III 270, 42'dir."
data\input_pdfs\AKT 2, 1995.pdf	36	"6,7: Bu satırlarda geçen şahıs ismi, B. Kienast tarafindan önce ATHE 21 A, 1.3.19; 43,
15'de Zu-ba, sonra FAOS Beih. 1, 1984, 8, 15'de Sfı-pâ olarak yazilmiştir. K. Balkan ise;
AS 23'te Ingilizcesi yayinlanan Belleten c. LI, sa. 200, s. 420 ve n. 5'teki makalesinde ismi,
Zuba olarak okumakta ve muhtelif yönleriyle ele almaktadır. AKT 125, 54.57; 45 z. 1 ve
67,15'te de geçen isim, Supa olarak kaydedilmiştir.
17-19: Bu satırlardaki ""lu i şa'ûdim lu ina iserätim imti"" ifâdesi içerisinde geçen;

şa'ûdum, AHw s. 1074a'daki şâdu II, şuâdu ""eriyip yok olmak"", II. kalipta ""erimek, ergi-
mek; tasfiye etmek"" ve CAD Ş s. 59'daki şâdu B ""erimiş olmak, erimek; tasfiye etmek""

fiiilinden yapilmiş bir isim olduğu açiktir.
""i-sé-ra-tim"" kelimesinin ise; AHw s. 394b'de isertum III, CAD I-J s. 224-5'de isaru'nun
feminen formu olarak kabul edilen ise/arzu şeklinde kaydedilen ve ""normâl, normâl miktar""
mânâsındaki kelimeyle aynılığından şüphe edilmemelidir. Nitekim, CAD M I s. 429b'de, TCL
1414, 23'den alıntı yapılan 5 GIN ina iserâtim im-ti ifâdesi ""normâl miktardan 5 seq el azaldı""
diye tercüme edilmiştir.
Ifâde, aşağıda sıralayacağımız metinlerde farkla yazilış şekilleriyle de geçmektedir:
1) CAD M I s. 430'da, HUCA 39,26'dan aktarilan L 29-569 metni st. 23 v.d. ""x kaspum

lu ina Şa-fı-dim lu ina iserâtim im-ti"" cümlesi tercüme edilmemiş, ifâdenin gümüşün tasfi-
yesiyle ilgili olduğunu belirten kayit konmuştur.

2) AfO 12, s. 347 ve AC s. 194, n. 3'te kaydedilen KTP 45: 2[...] ma-na KÙ.BABBAR
3[û-]sé-bi4-1ac-ma lu i-na 4[i-]sé-ra-tim lu i-na 5şa-fı-dim 1/3 ma-na i-bi-ti-iq (!)
3) CCT IV 4a 411u i-na şa-ru-pi-im 421u i-na sé-ra-tim 43mu-tâ e...
4) Kay.13: x+20[ ] lu nu-şa-id lu i-/na] 214é(!)-ra-tim im-ti
5) Yine AfO 12 s. 347'de kaydedilen TC II 14 metni: 213 2/3 GIN sa Şax-e-dim 225 GIN
i-na
Bu ifâde içerisinde geçen şa'ûdum münasebetiyle M.T. Larsen'in OACP s. 42'deki
""sa'udum"" ile ilgili açiklamalarina göz atalım: M.T. Larsen, adi geçen yerde P. Garelli'nixı
sa'udum için ""(eşeğin) koşum takımı ile münâsebetli materyâlden bir nesne"" dediğini ve

bunun mümkün olabileceğini belirtmektedir. Ayrica, kendisi, sa'udum'da textillerin depo-
lanabileceğinden ve kayiplarin meydana gelebileceğinden bahsederek, kelimenin daha çok

textil yüküyle ilgili metinlerde göründüğünü, yalniz metal bulunduran yükler sözkonusu
olan yerlerde aslâ görünmediğini açiklamaktadir.
Metnimiz ise sadece 12 mina gümüş ve bunun nerelere verildiğini belirtmekte ve eğer
kelimeler farkla köklerden değilse M.T. Larsen'in bu konuda yanıldiğıni ortaya koymaktadir.

Kanaatimizce kumaşlarin bahsedildiği metinlerdeki sa'udum ile metallerin bahsedildi-
ği metinlerdeki şa'ûdum'u ayırmamak gerekir. Lugatlerde s ile sa'udum kelimesine rastla-
yamamış bulunuyoruz. AHw s. 1002 b'deki sâdum ""vurup öldürmek"" fiilinin sözkonusu

kelimesiyle irtibatı olması, sadece kelimeye verilen mina dikkate alındığında dahi mümkün
görünmemektedir. Biz, sa'udum ile birleştirmek istediğimiz şa'ûdum kelimesinin,

şâdum/şuâdum fiilinden türetildiğini ve hem tekstil ürünleri hem de mâdenler bahis konu-
su olduğunda kullanıldığını düşünüyoruz. Metnimizde ve transkripsiyonlarıni verdiğimiz

ANKARA KÜLTEPE TABLETLERİ H 21
diğer metinlerde görünen ""lu ina şa'ûdim lu ina iser a tim imti"" teriminin biri midenin
eritilmesi esnıâsındaı , diğeri durduğu yerde, tabiî şartlarinda kayba sebeb olan iki durumu
ifâdede kullanıldığını söylemek mümkündür."
data\input_pdfs\AKT 4, 2006.pdf	21	[x ma-na ku`].babbar s.a-ru-p ́a-am i-[s. ́e]-er / Su-li ˇ dumu Me-ra-l ́ı [H ̆ u-ni-a i]-ˇsu / itu.kam t ́e-i-na-tim / li-mu-um I-l ́ı-dan ` [99/124] 20 a-na [ˇsa]-na-at / i-ˇsa-qal / ˇsu-[ma] l ́a iˇs-q ́u-ul 1/3 ma-na a-na 1 ma-na-im s. ́ı-ib-[t ́am]  ́u-s.a- ́ab kiˇsib S`a-ak-li-a dumu Su-Iˇstar ˇ kiˇsib A-ˇs`ur-[ni]-ˇsu dumu A-mur-Iˇstar kiˇsib Il 5-ba-ni dumu A-mur-Iˇstar / 2 ma-na 10 g ́ın ku.babbar ` s.a-ru-p ́a-am / i-s. ́e-er Il 5-ba-ni dumu A-mur-Iˇs[tar ] 25 <H ̆ u-ni-a> dumu A-ˇs`ur-i-m`ı-t ́ı / i-ˇsu iˇs-t`u h ̆ a-mu-uˇs-[tim] ˇsa A-ˇs`ur-t ́ak-l ́a-[ku] dumu A-l ́a-h ̆ i-im / a-na 20 h ̆ a-am-ˇsa-tim i-ˇsa-qal / ˇsu-ma / l ́a iˇs-q ́u-ul 1 1/2 g ́ın.ta / a-na 1 ma-na-im i-itu.kam s. ́ı-ib-t ́am /  ́u-s.a- ́ab itu.kam k ́an-mar-ta li-mu-um / A-ˇs`ur-i-m`ı-t ́ı / ma-l ́a-h ̆ u-um [107] 30 kiˇsib [Puzur 4-A]-ˇs`ur dumu Su-Be-lim ˇ / kiˇsib A-gi-a dumu [. . .]-im [kiˇsib P ́a-ta]-a dumu L ́a-q ́e-p`ı-im / 5/6 ma-na 2 g ́ın [ku.babbar] ` [s.a]-ru-p ́a-am i-s. ́e-er P ́a-ta-a dumu [L ́a-q ́e-p`ı-im] [H ̆ u]-ni-a i-ˇsu iˇs-t`u / itu.kam ma-h ̆ u-ur-[dingir] a-na 1 ma-na-em / i-itu.kam s. ́ı-ib-t ́a[m  ́u-s.a- ́ab] 35 a-li e-mu-ru-ˇsu / ku.babbar ` ́ap-ˇsu i-l ́a-[q ́e] kiˇsib S ́a-ak-li-a [dumu Suˇ ]-Ku-bi-im / kiˇsib S`a-[. . . kiˇsib I-[ku]-p ́ı-im dumu A-ˇs`ur-i-m`ı-t ́ı / kiˇsib [. . . dumu Dan-A-ˇs`ur / 2 ma-na ku.babbar ` s.a-ru-p ́a-am [i-s. ́e-er ] S ́a-ak-li-a dumu Su-Ku-bi ˇ 4-im H ̆ u ! -ni-[a] i-ˇsu NB: nach Foto! 40 iˇs-t`u / h ̆ a-mu-<uˇs>-tim ˇsa En-um-A-ˇs`ur dumu S ́al-ma-hi-im ˇ a-na 10 h ̆ a-am-ˇsa-tim / i-ˇsa-qal / ˇsu-ma l ́a iˇs-q ́u-ul 1 1/ 2 g ́ın.ta ku.babbar ` a-na 1 ma-na-im s. ́ı-ib-t ́am / i-na itu.kamim /  ́u-s.a-ab itu.kam s. ́ı-ip-im / li-mu-um A-ˇs`ur-i-m`ı-t ́ı [107] 45 kiˇsib S`a-ak-li-a dumu Su-Iˇstar ˇ Rs. kiˇsib I-ku-p`ı-A-ˇs`ur dumu Puz ́ur-Iˇstar kiˇsib Ir-ma-A-ˇs`ur dumu Ni-de8-ba-ni i-na 1/3 ma-[na ku`].babbar ˇsa U-s  ́ .ur-ˇsa-Iˇstar `u H ̆ u-ni-a / [i]-na q ́a-t ́ı / Ir-ma-A-ˇs`ur 50 <dumu> Ni-de8-ba-ni / um-ma Ir-ma-A-ˇs`ur-ma ˇsa.ba 5 g `  ́ın ku.babbar ` / a-na a-limki a-s ́ı ˇsa ki-ma / i-a-t ́ı /  ́u-ta-e-er um-ma a-na-ku-ma / a-na U-s  ́ .ur-ˇsa-Iˇstar `u H ̆ u-ni-a / d ́ı-in / ˇsu-ma 5 g ́ın ku.babbar ` 55 i-na a-limki / ˇsa ki-ma Ir-ma-A-ˇs`ur / a-na U-s  ́ .ur-ˇsa-Iˇstar /  ́u H ̆ u-ni-a / l ́a i-d ́ı-in
data\input_pdfs\AKT 4.pdf	19	"kiˇsib A-du-da dumu ru-ba-im kiˇsib Ma-s`a-a
dumu A-ˇsur-ni-im-ri kiˇsib Iˇs-me-li-il 5
dumu Su-Ku-bi ˇ

4-im kiˇsib A-mur-Aˇsur dumu A-ˇsur-du10
kiˇsib A-bu-ˇsa-lim dumu A-ˇsur-du10 i-na a-mu-tim
15 ˇsa t ́am-k`a-ru-um  ́u-du- ́u-ma I-d ́ı-Ku-bu-um
na- ́aˇs-p`e-er-t ́am a-s. ́e-er E-ni-ba- ́aˇs A-bu-ˇsa-lim
E-ri-ri-a  ́u S ́al-ma-h ˇ
 ̆
i iˇs-pu-ra-ni
A-ˇsur-iˇs-t ́ı-k ́al a-mu-t ́am ˇs ́ı-a-t ́ı a-ma-l ́a
na- ́aˇs-p`e-er-tim <ˇsa> I-d ́ı-Ku-bi 4-im i-d ́ı-nu-ˇs ́ı-ma
20 a-mu-t ́am ˇsa dam.qar  ́u-du- ́u-ma I-d ́ı-Ku-bu-um
dam.qarru -ni 3

1/3 ma-na ku.babbar ` A-bu-ˇsa-lim im-s. ́ı-ma
ku.babbar ` il 5-q ́e ˇsu-ma I-d ́ı-Ku-<bu>-um ˇsa ki-ma dam.qarri-im
a-na A-ˇsur-iˇs-t ́ı-kal a-na 3

1/3 ma-na ku.babbar `

i-t`u-ar-ˇsu-um A-bu-ˇsa-lim  ́u-ba- ́ab-ˇsu
25 kiˇsib Dan-A-ˇsur dumu Ku-uˇs-k`a-nim kiˇsib E-ri-ˇs ́ı-im
dumu A-[mur ]-

dutu kiˇsib A-ˇsur-du10 dumu En-nam-ma-a-nim

1 ma-na ku.babbar ` s.a-r [u-p ́a-am i-s.

] ́e-er A-ˇsur- du10

dumu En-nam-ma-a-nim I-na-ah
 ̆
-dingir i-ˇsu iˇs-t`u

h
 ̆
a-mu-uˇs-tim ˇsa A-ˇsur-ma-lik dumu S ́u-k`a-li-a
30 itu.1.kam ma-h
 ̆
u-ur-`ı-l ́ı li-mu-um I-na-a [104]

dumu A-mu-ra-a a-na 20 h
 ̆
a-am-ˇsa-tim i-ˇsa-qal

ˇsu-ma l ́a iˇs-q ́ul 1

1/2 g ́ın.ta i-itu.1.k[am s.

] ́ı-ib-t ́am [ ́u-s.a- ́a]b

kiˇsib A-al-du10 dumu L ́a-q ́e-ep
kiˇsib A-l ́a-h
 ̆
i-im dumu Su-Ku-bi ˇ

4-im kiˇsib Ni-[mar-Iˇstar ]

35 dumu En-um-d

im 1/2 ma-na ku.babbar `
s.a-ru-p ́a-am i-s. ́e-er Ni-mar-Iˇstar I-[na-ah
 ̆
-dingir]

i-ˇsu iˇs-t`u h
 ̆
a-muˇs-tim ˇsa Z[u-ku-a]

dumu A-[ˇsur ]-i-d ́ı-ma a-na 2 itu.kam i-ˇsa-[qal]
ˇsu-ma a-n[a] u4-[m`ı]-ˇsu ma-al- ́u-tim
40 l ́a iˇs-q ́u-ul ki-ma a-wa-at k`a-ri-im
s. ́ı-ib-t ́am i-itu.1.kam  ́u-s.a- ́ab itu.1.kam
ˇsa ke-na-tim li-mu-um ˇsa q ́a-t ́e En-um-A-ˇsur [115+]
dumu Du-ni-a kiˇsib I-d ́ı-a-bi 4-im
dumu En-um-A-ˇsur kiˇsib Ma-nu-ki-A-ˇsur
45 dumu [. . . kiˇsib] En-um-A-ˇsur
dumu [A-l ́a-h
 ̆
i-im x m]a-na 1
1/2 g ́ın
o.K. ku. ` [babbar s.a-ru]-p ́a-am i-s. ́e-er
[En-um-A]-ˇsur dumu A-l ́a-h
 ̆
i-im
Rs. E-ni-ba- ́aˇs t ́ı-ˇsu iˇs-t`u itu.1.kam
50 k`a-an-wa-ar-ta li-mu-um"
data\input_pdfs\AKT 4b, 2006.pdf	52	"(Silindir mühür baskisi A)
1 KISIB A sur-DU10DUMU Su Istar
KISIB Asur ni-su DUMU Dan A-sur

32 İRFAN ALBAYRAK
KISIB I-df-a DUMU Ena A-sur
KIŠIB Hu-di-lâ DUMU A ga-a
5 14 GÎN KÙ.BABBAR /.sa-ru pâ am i- é-er
(Silindir mühür baskisi B)
I-di-a DUMU E na A-šur
iı Hu-d3-la DUMU A ga-a
Ak. (Silindir mühür baskisi B)
DAM.GÀR i-su /is-tùha-mu-us-tim
sa A-sur-ma-lik DUMU Sû kà-li-a
Ay. (Silindir mühür baskisi C)
10 ana 3 ha-am-sa-tim /i sa-qû-lu
su-ma la is-qû-lu /ki-ma a-wa-at
kà-ri-im 1 1/2 GIN.TA ana
1ma-na-bn /ina ITU.KAM'm
si -ib-tâm /ûsû-bu KÙ.BABBAR
15 i-na qâ-qâ-ad sâl-mi-su nu
ù keni-su nu /ra ki-is
(Silindir mühür baskisi B)
ITU.KAM /qâ-ra a-tum 4 imu-u]m
Uk. I-na-Sû-en6 DUMU Su-[ ]"
data\input_pdfs\Albayrak_1998_3UHKB_Koloni caginda_p1-14.pdf	4	"Tercüme
1-5) Madawada İmlika'dan 1 2/3 mina 6 segel tasfıye edilmiş gümüş alacaklıdı r
5.9) Su-Kûbum ve Gazia'nın haftasından itibaren, Pıırushattum'a girişinde 10'
11) 1/2
mina gümüşïi bana gönderecek 1244) 1 mina 16 segel güınüştı (ise) 7 aya kadar
tartacak. 14

-17) Eğer tartmazsa karumun kararina göre faiz ilave edecek
18-20) Kanwarta ayı; İddi(n)-abum'un senesi, 2i.22i şahit Hubidam, şahit İnba-Assur,.
Madawada'ya ait bir diğer belge de, onun yerli üç şahıstan alacağı buğday, arpa
ve ekmek hakkındaki o/k 40 numarali açilmamiş zaritır Belge 6 adet mühürle
başlamaktadır Bunlardan biri Asurlu, diğer beşi ise, yerli kimselere aittir
Belgede ödeme vadesi belirtilirken, tahıl ve gümüş için ayrı ayrı zamanlar
kaydedilmiştir Tahılın orak zamanrna, gümüşün ise, biçilen tahılın hasat edilme
zamamaa kadar ödeneceği belirtilmektedir Belge hafta ve seneye göre
tarihlendirilmiştir Belgede mevcut iki şahitten biri Eski Asurca isim taşımaktadır
0, muhtemelen tableti yazan kâtiptir"
data\input_pdfs\Albayrak_2000_ArAn4_testament.pdf	2	"Vor der Bearbeitung unseres neuen Testaments wollen wir einige
Ausdrücke als Beispiele geben, die über das Erbe in den Kültepe-Texten
vorkommen.
Im Text mit der Nummer I 705' handelt es sich um einen Streit
über die Verteilung des väterlichen Erbes zwischen zwei Brüdern. Von
diesem Text können wir die sächlische Erbverteilung im Wohnraum
deutlich feststellen. Sie werden im Text als Subrum ""Gesinde"", utup turn
""Möbel"", gabliturn ""Metall-Gefäß"", passurum ""Tisch"", mazlaguet
""Löffel"", sugarriâ'urn ""Dolch"", samâluet ""ein Gefäßart"" und ras•ku
""Fell"" angegeben. Im Text hebt sich einer von den Brüdern seine
Ansprüche gegen den anderen folgendermaßen:
'li-na si-ma-tim
2)sa a-bi-ni / É
')sa Kà-ni-is sa-ub-ru-um
4)ù ù-tù-up-tum
5)i-a-um

'-')In dem Testament unseres
Vaters gehören das Hause in Kani§
4-5)und die Möbel zu mir"".

Die folgenden Zeilen gehen folgendermaßen weiter:
1 e) a-na

16 (meinen) (meinen) übrigen(Anteil)
""si-tim / a-là-ak-<ma> werde ich (hin)kommen. Und
""$)bé-ti / i-na Kà-ni-is ich werde mein Haus in Kani§
19'a-ma-ar-ma prüfen dann (wenn etwas fehlt)
2°)a-sé-e-kà dich suchen""
Eine andere Urkunde, die das Erbe betrifft, befindet sich mit der
Nummer 30 in den unpublizeirten o/k Texten (Ausgrabungsjahr 1963).
Da handelt es sich um den Tod der Akadia, Schwester von Uşur-§a-Istar
und Iddi(n)-A§§ur5. Dieser Brief wurde wahrscheinlich in Assur
geschrieben. Im Text informiert zuerst Iddi(n)-Assur seinen großen
Bruder Usur-§a-Istar über ihre Schwester Akadia, die gestorben sei und,
daß die Lamassätum das Testament der Akadia öffnen will. Außerdem
schreibt er, daß Akadia ihm 1 M. (Silber) Schulden hinterlassen hat.
Die betreffenden Zeilen des Texts gehen so weiter:
'la-na qi-bi4ma 1-2)An Usur-§a-I§tar spricht Iddi(n)-
2)urn-ma I-di-A-Sur-ma A-kà-di-a A§sur folgendermaßen: 2-4)""Akadia
3)me-Uta'-at KÙ.BABBAR 1 ma-na ist tot. Sie hinterließ dir 1 M.
4)h[u-b]u-là-am té-zi-<ba>-rku'-um Silber (als) Schulden"""
data\input_pdfs\Albayrak_2001_AMMY2000_ma'usu.PDF	5	"Bu metinde de, mä'û'nun, yukarida ele aldığımı z Kt7.Gİ sa ma-e-su
yazımına paralel bir geçişine tanik olmaktayız. Yine, burada da TM
sa ma-e-su ifadesiyle kumaşın bir kalitesi anlatılmak istenmiş
olmalı dır. Kumaş için böyle bir sıfatın kullanı lması , onun işlendiği
esnada veya tamamlandı ktan sonra su içinde bekletmeye veya
yı kamaya tâbi tutulup daha sonra kullanima sunulduğunu
düsündürmektedir.
Kültepe metinlerinde, yukarida verdiğimiz örneklerin dışında,
mä'û kelimesinin satû ""içmek"" fiiliyle irtibatlandırılarak, mecâzi bir
anlamda kullanı ldığı örnekler de vardı r. Bu konuda ele almak
istediğimiz ilk örnek, BIN IV, 29 metninin 43-44. satırlarında geçen şu
ifadedir:

um-ma a-na-ku-ma
44)LUGAL' mma-e i-sé-ri-su-nu lâ i-sa-ti
Ben şöyle (söylüyorum):
""Kral's onlarin sirtindan su içmeyecek!"""
