page_id,page_text,conf_mean,lines_count,warnings,language,correction_stats,reading_order_stats
page_002,10 15 20 25 Ak. Ay. 30 35 40 45 50 IRFAN ALBAYRAK a-hi-re- en6 1/2 GíN a-na 2 ki-ri-im á-qúl 1/4 GiN a-na i-ri-im á-qul-ma e-mu-ni ù e-ba-ra-tù-u a-sí-i 4 1/2 GiN a-na 2 na-ru-uq ù 1 DUG bu-uq-lim á-qúl 4 GiN a-na 2 na-ru-uq ba-pí-ri-im á-qúl 7 GiN LÁ 15 E a-na 6 na-ru-uq se-am á-qul 6 2/3 GiN a-na 4 na-ru-uq ar-sa-tim á-qul 2 1/6 GiN a-na hi-im-tim á-qúl 1 1/3 GiN a-na dí-i-pì-im ás-qul 2 1/4 GiN a-na pá-ni-ri a al-pì-im ù e-me-ri á-qúl 15 GiN a-na al-pì-im ás-qúl 2/3 GíN a-na UDU á-qúl 2/3 Gín 15 E a-na UDU-ma á-qúl 1/6 GIN a-na UDU [x] GiN a-na UDU á-qúl 1 GiN a-na e-ri-qi-im [x] LÅ 1/6 GiN a-na sú-ri-im a-na a tí-ib-nim! al-pì-im ú e-me-ri-<im> á-qul [ás]-qúl GU A [x] GíN a-na 2 ma-ke a-pá-tí-im [á-q]úl 3 1/6 GíN a-na 2 e-ri-qé-[ en6] [a e-s]í á-qúl 1 GíN LÁ 7 1/5 E [a-na ....]-ra-ni á-qul 2 GiN [a-na] [e]-ri-qi-im a kà-nu-wa [ x ] GíN a-na a-lá-ni ù ki-ra-ni [x+]5 GiN a-na 30 a-hi-ra-tim [x+]4 GiN a-na i.Gi ás-qúl 1/4 [G]íN a-na um-zi-im 1/3 GiN a-na u-um-ki á-qúl 1/2 GiN a-na 1 DUG ha-á-lá-tim á-qúl 1 LÅ 1/6 GiN a-na-ru-uq pá-e á-qúl 1/6 Gin a-kà-nu-wa a ki-ra-tim 1 GiN a-na zi-re ma-lá-hi ú ha-ba-a-tim 1/4 GíN a-na hi-im-tim bi4-i-tim á-qúl 1/2 GíN LA 7 1/2 E a-na e-si á-qúl 22 1/2 E a-a-kà-nu-wa á-qul a-ku-kam a-[x]-u a-dí-in 1/4 GiN a-na ak-li-i[m x ]-tim 15 E a-qá-ni 2/3 GíN 15 E a-na ku[-x-(x)-t]im á-qúl 15 E a-na ki-ki-a-ni á-qul 5/6 ma-na a-na 5 ku-ta-ni á-qul 4 1/2 GiN a-na na-ah-lá-pá-tí-a ás-qul 4 GiN a-na í-it-ri-sa á-qul 3 GiN a-na i-it-ri á-qúl-ma a-ma-tim ar-ku-us4 1/2 GiN a-na 2 ki-re-en6 á-qul 1/3 GiN a-na a-hi-re-en6 ás-qul e-mu-ni ù e-ba-ru-<tù>-u a-sí-i,0.961,57,,italian,"{""corrections_applied"": 0, ""spans_attempted"": 439, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 5.459785461425781e-05, ""elements_processed"": 57, ""columns_detected"": 1}"
page_003,"KANIS-KARUM'UNUN BIR MEKTUBU isimleri kaydedilen kimselerin, Asur'da olduklar anlailmaktadir. Kervanin, öncelikle Zalpa'ya urayacai ve orada, tablette kirk olduu için çok iyi anlayamadigimiz, birtakim ilemler halledildikten sonra Kani'e hareket edecegi belirtilmektedir. Mektup, tüccarlar ile yerel saraylar arasindaki ilikilerde krumun üstlendii rol hakkinda dikkate deer bilgiler vermektedir. 5. satrdaki, Kani krumunun, habercilerine yönelik me-er-ú-ni a-tù-nu""sizler bizim oullarimizsiniz"" eklindeki hitabi, onlarin krumun belirledii görevliler veya Asur vatanda1 olmalar münasebetiyle, krum-dâiresinin tabii üyeleri olmalarndan kaynaklanan bir tanimlama olabilir. Mektupta krum, haberciler ve beraberlerindeki kervanin Kani gelmeleri cesaretlendirici konusunda sarayina yapmaktadir. Örnein, Kani sarayinin sadece nishatum-vergisini a-l[i-ni] ""vatandaimiz"" eklinde alacai ve metinde DUMU tanimlanan kimse veya kimselerin istedikleri yere gidebilecekleri kaydedilmitir (st.9-13). Kani sarayinda tüccarlarin herhangi bir mal kaybina uramayacaklari da, krum tarafindan tüccarlara ayrca bildirilmektedir. Dier taraftan, krumun, daha kervan yolda iken, kervanin Kani sarayna sokulaca1 konusunda saray yetkililerine söz verdii anlailmaktadir. Krum, muhtemelen verdii bu sözün gerei olarak, kervanin mutlaka Kani sarayina sokulmasini istemektedir.7 Krum habercilere verdii talimatlarinda, toplantnizda / meclisinizde"" kariliindaki ina puhri-kunu ifadesini siklkla tekrarlayarak, habercilerin çeitli konular görümek üzere toplantilar düzenledikleri ve bir kurul oluturduklari yönündeki r düünceleri dorulamaktadir. 8 Ozellikle tekstil ticaretine konu olan esvalari tasiyan kervanlarn, öncelikle yerel 7 3 açiklamalar mevcut",0.979,38,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 473, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.982948303222656e-05, ""elements_processed"": 38, ""columns_detected"": 1}"
page_004,"IRFAN ALBAYRAK 4 Kt. 88/k 963 Müze Env. No: 1-810-88; (8,6 x 5,8 x 2,1 cm. devetüyü renkli) Öy. um-ma kà-ru-um 1 Kà-ni-i-ma a-na A-ùr-ma-lik A-ùr-GAL Na-ni-ba-tal i-ip-ri-ni ú ELLATtim qí-bi4-ma 5 me-er-ú-ni/a-tù-nu a-na-kam / A-X-BAR-TUM a É.GALim / SIG5 mi-ma li-ba-ak-nu lá i-pá-ri-id i-na UTUi a a-na 10 Kà-ni-i / té-ra-ba-ni- nil É.GALúm / ni-is-ha-[tám] i-lá-qí-ma / DUMU a-l[i-ni²] li-bi4-u / i-la-a[k] hu-lu-qá-ú / mì-ma i-na É.GALlim lá i-ba-í 15 ù a-na ELLAT tim sé-ru-bi4-im / pì-i-ni a-na É.GAL lim Ak. ni-dí-in / i-[nu-mì] 20 tup-pí-ni] [i-na A-]lim Ay. ta-a-me- a'-[ni] [i]-na pu-ùh-ri-[ku]-nu a-na Za-al-pá s[é]-er-da-nim ki-ma a'-na1 rZa]-[a]l-pá 25 té-ru-ba-ni / mu-[e-ma-ri-ku-nu i-tup-pì-[2 ZA-AK-DU-TIM i-pá-5ni'7-[tim] i-na pu-ùh-ri-ku-nu er-[s]a²-ma ba-á-tám a-lá-am A-ùr 30 kà-ra-am ú ra-ma-na-tí-ku-nu u-uk-na-ma / i-na mì-ma e-ma qá-at-ku-nu sa-ba-tán a-na a te-ra-ba-ni-ni kà-ru-um 35 i-le-e I",0.962,53,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 510, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 5.650520324707031e-05, ""elements_processed"": 53, ""columns_detected"": 1}"
page_005,"15 I(i 17 altinin bir kalitesini gösterdiine isaret etmektedir. Yikanmis altin ifadesiyle, herhalde, altinin islendii esnada, su ile ilgili kimyasal bir islemden gerçirilen bir türü belirtilmek istenmistir. m'i'nun ayni formda geçtigi bir diger metinde ise, kuma söz konusu edilmektedir. Kt. 90/k 116l"" env. nolu belgede bu hususta sunlar kayitlidur: 5)9 ½ GíN KU.BABBAR Sa-ra-bu-nU-wa ""ú ta-pá-ú-u | ha-bu-lu-ni-im "")a-tù-nu-ma TúG"" a ma-e-u ú a-ba-ar-ni-a-im "")ta-di-na-su-um si-im a-bar-ni-e-im ""ú-sé-bi-lu-ni-im i-im a ma-e-su "")i-li-bi-su-nu ...... 16)KU.BABBAR si-im a ma-e-u 17)a-á-qi-lá-ma......... 5-6) ""9 ½ Seqel gümüsü Sarabunuwa 7-10)Sizler ve arkadaslar bana borçludurlar. yikanmis subtum-kumainl"" ve abarnium-17 Onlar kumasini vermistiniz. ona bana Abarnium-(kumasinin) bedelini bedeli gönderdiler, (ama) ylkanmis'(in) 16-(hâla) onlarin üzerindedir. 17)Yikanmis (kumasin) bedeli (olan) gümüü 66 tarttirin!........ C. Michel - P. Garelli. TPAK 1. 33. abarnium kumasi igin, Veenhof, a.g.y. s.156 vd. 304",0.951,38,,turkish_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 394, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.172325134277344e-05, ""elements_processed"": 38, ""columns_detected"": 1}"
page_009,"iddia edilebilir. 2. Yapi: Roma Mezar Aniti 35°28' 13.8"" E 39°05' 02.9""E koruma önlemlerinin alinmas1 gerekmektedir. 3. Kizil Höyük 35°31' 18.35""E 39°05' 56.09"" N 10 Türk Arkeoloji Dergisi XXX, 83-103, (Resim: 19). 412 E'deki kalinti ile birleecektir. Buna dayanarak, Eriköy'de bir sur duvarnin olabilecei Felahiye lçesi, Kepiç Köyü sinirlari içinde yer almaktadr. Söz konusu yapinn Geç Roma Çai'na ait bir mezar anit1 olduu bilinmektedir10 (Resim: 9). Bu yapinin yaninda doal kaya üzerinde, Roma Ça1'na ait bir höyük yer almaktadir. Yapi, geçmiten günümüze dein define arayanlarin ve eski eser kaçakçilarnn hedefi olmu ve bu nedenle pek çok tahribata uramtir (Resim: 10). Yapinn bir bölümü çökmü; tonoz üst örtüsü ile arka cephesindeki alnlk penceresi ykilmtir. Yapnin içindeki ayaklarca tainan kemer sayesinde, tonozun y1kilmas1 belli bir noktada, kemer hizasinda durmutur. Fakat tonozun çöküü srasnda, kemerde de statik sorunlar olumu, çökmeler balam; kemer tonozdan ayrilm ve aaiya doru sarkmtir (Resim: 11). Kemerin kilit ta1 da dahil olmak üzere ortasindaki üç kemer blou parçalanm ve yerinden kaymtir. Bu bloklarin herhangi bir sarsinti ya da zaman içindeki bozulmalar1 sonucunda, yerlerinden aaiya dümeleri neticesinde, öncelikle kemer tamamen çökecek, ardndan yapinin tonozundaki yikilma devam edecek ve yapidaki tahribat büyük ölçüde artacaktir. Mevcut durumu ile kemerdeki bozulmalar, yapida ciddi bir çökme tehlikesi yaratmaktadir. Bu ekli ile yapinn içine girilmesi can güvenliini de tehdit etmektedir. Bu tehlikenin yan sira, yap1ya müdahale edilmemesi durumunda meydana gelecek olasi bir çökme, yapinn yikim sürecini balataca1 gibi, bu çökmenin ardindan yaplacak restorasyon da daha zor ve maliyetli olacaktir. Ayrica böyle bir ykim sonucu yapinin özgünlüü bozulacak olmasindan dolay1 yapi telafisi mümkün olmayan büyük bir zarara uram olacaktir. Bütün bu sebeplerden ötürü, bölge için esiz olan ve insan eliyle yaplan tüm tahribatlara ramen halen ayakta duran bu anitsal yapiya acil olarak müdahale edilmesi ve gerekli Kayseri Arkeoloji Müzesi tarafindan kurtarma kazs1 yapilm bir tümülüstür. Grégoire, H., 1909 ""Rapport sur un voyage d' exploration dans le pont et en Cappadoce"" Bulletin de Correspondance Helleniqué, 3-147, (s. 47-48, fig.7-8); Kodan, H.-Günbatti, C., 1992, ""Tontar Roma Mezari""",0.978,36,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 76, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 3.743171691894531e-05, ""elements_processed"": 36, ""columns_detected"": 1}"
page_019,AKT IV KIIB A-du-da DUMU ru-ba-im KIIB Ma-sà-a DUMU A-ur-ni-im-ri KIIB I-me-li-il5 DUMU u-Ku-bi4-im KIIB A-mur-Aur DUMU A-ur-DU10 KIIB A-bu-a-lim DUMU A-ur-DU10 i-na a-mu-tim sa tám-kà-ru-um ú-du-ú-ma I-dí-Ku-bu-um 15 na-á-pè-er-tám a-sé-er E-ni-ba-á A-bu-a-lim E-ri-ri-a ú ál-ma-hi i-pu-ra-ni A-ur-i-tí-kál a-mu-tám i-a-tí a-ma-lá na-á-pè-er-tim <¯a> I-dí-Ku-bi4-im i-dú-nu-i-ma a-mu-tám a DAM.QAR ú-du-ú-ma I-dí-Ku-bu-um 20 DAM.QARru-ni 3 1/3 ma-na Ku.BABBAR A-bu-a-lim im-sí-ma K∪.BABBAR il5-qé u-ma I-dí-Ku-<bu>-um a ki-ma DAM.QARri-im a-na A-ur-i-tí-kal a-na 3 1/3 ma-na Ku.BABBAR i-tù-ar-u-um A-bu-a-lim ú-ba-áb-u KIIB Dan-A-ur DuMu Ku-u-kà-nim KIIB E-ri-í-im 25 DUMU A-[mur]-dUTU KIIB A-ur-DU10 DUMU En-nam-ma-a-nim 1 ma-na Ku.BABBAR sa-r[u-pá-am i-s]é-er A-ur- DU10 DUMu En-nam-ma-a-nim I-na-ah-DINGIR i-u i-tù ha-mu-u-tim a A-ur-ma-lik Dumu Sú-kà-li-a ITU.1.KAM ma-hu-ur-ì-lú li-mu-um I-na-a 30 DuMu A-mu-ra-a a-na 20 ha-am-a-tim i-a-qal u-ma lá i-qúl 1 1/2 GíN.TA i-ITU.1.K[AM s]í-ib-tám [ú-sa-á]b KIIB A-al-DU10 DUMU Lá-qé-ep KIIB A-lá-hi-im DUMU u-Ku-bi4-im KIIB Ni-[mar-Itar] DUMU En-um-dIM 1/2 ma-na Ku.BABBAR 35 sa-ru-pá-am i-sé-er Ni-mar-Itar I-[na-ah-DINGIR] i-u i-tù ha-mu-tim a Z [u-ku-a] DUMU A-[ur]-i-dí-ma a-na 2 ITU.KAM i-a-[qal] u-ma a-n[a] u4-[mì]-u ma-al-ú-tim lá i-qú-ul ki-ma a-wa-at kà-ri-im 40 sí-ib-tám i-ITU.1.KAM ú-sa-áb ITU.1.KAM a ke-na-tim li-mu-um a qá-té En-um-A-ur DUMU Du-ni-a KIIB I-dí-a-bi4-im DUMU En-um-A-ur KIIB Ma-nu-ki-A-ur b [. . . K1IB] En-um-A-ur 45 DUMU DUMU [A-lá-hi-im x m]a-na 1 1/2 GíN Kù.[BABBAR sa-ru]-pá-am i-sé-er o.K. [En-um-A]-ur DUMU A-lá-hi-im E-ni-ba-á tí-u i-tù ITU.1.KAM Rs. kà-an-wa-ar-ta li-mu-um 50 19 [104] [115+],0.971,55,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 246, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.8160552978515625e-05, ""elements_processed"": 55, ""columns_detected"": 1}"
page_021,AKT IV 20 25 30 35 40 45 Rs. 50 55 21 [x ma-na Ku].BABBAR sa-ru-pá-am i-[sé]-er / ¯u-li DUMu Me-ra-lí [Hu-ni-a i]-u / ITU.KAM té-i-na-tim / li-mu-um I-lí-dan [99/124] a-na [¯a]-na-at / i-a-qal / u-[ma] lá i-qú-ul 1/3 ma-na a-na 1 ma-na-im si-ib-[tám] ú-sa-áb Ki1B Sà-ak-li-a DUMU u-Itar KIIB A-ùr-[ni]-u DUMU A-mur-Itar KIIB Il5-ba-ni DUMU A-mur-Itar / 2 ma-na 10 GíN Kù.BABBAR sa-ru-pá-am / i-sé-er Il5-ba-ni DUMu A-mur-I[tar] <Hu-ni-a> DuMu A-ur-i-mi-ti / i-u i-tù ha-mu-u-[tim] a A-ur-ták-lá-[ku] DuMu A-lá-hi-im / a-na 20 ha-am-a-tim i-a-qal / u-ma / lá i-qú-ul 1 1/2 GíN.TA / a-na 1 ma-na-im i-ITU.KAM sí-ib-tám / ú-sa-áb ITU.KAM kán-mar-ta [107] li-mu-um / A-sùr-i-mì-tí / ma-lá-hu-um KIB [Puzur4-A]-ùr DUMU u-Be-lim / KI1B A-gi-a DUMU [. . . ]-im [KIIB Pá-ta]-a DUMU Lá-qé-pi-im / 5/6 ma-na 2 GíN [κu.BABBAR] [sa]-ru-pá-am i-sé-er Pá-ta-a DuMu [Lá-qé-pì-im] [Hu]-ni-a i-u i-tù / ITU.KAM ma-hu-ur-[DINGIR] a-na 1 ma-na-em / i-ITU.KAM sí-ib-tá[m ú-sa-áb] a-li e-mu-ru-u / kù.BABBARáp -u i-lá-[qé] KIIB Sá-ak-li-a [DUMU ¯u]-Ku-bi-im / K11B Sà-[... KIIB I-[ku]-pí-im DUMU A-ùr-i-mì-tí / KIIB [. . . DUMu Dan-A-ùr / 2 ma-na Ku.BABBAR sa-ru-pá-am [i-sé-er] NB: nach Foto! Sá-ak-li-a DUMU u-Ku-bi4-im Hu'-ni-−[a] i-u i-tù / ha-mu-<u>-tim a En-um-A-sùr DuMu ál-ma-hi-im a-na 10 ha-am-a-tim / i-a-qal / u-ma lá i-qú-ul 1 1/2 GíN.TA Kù.BABBAR a-na 1 ma-na-im si-ib-tám / i-na ITU.KAMim / ú-sa-ab [107] ITU.KAM s-ip-im / li-mu-um A-ùr-i-mì-t KIIB Sà-ak-li-a DUMU u-Itar KIIB I-ku-pì-A-ùr DUMU Puzúr-Itar KIIB Ir-ma-A-ùr DUMU Ni-de8-ba-ni i-na 1/3 ma-[na Ku].BABBAR a Ú-sur-a-Itar ù Hu-ni-a / [i]-na qá-tí / Ir-ma-A-ùr <DuMu> Ni-de8-ba-ni /um-ma Ir-ma-A-sùr-ma À.BA 5 GíN Kù.BABBAR / a-na a-limki a-sí a ki-ma / i-a-tí / ú-ta-e-er um-ma a-na-ku-ma / a-na U-sur-a-Itar ù Hu-ni-a / dí-in / u-ma 5 GíN Kù.BABBAR i-na a-limki / a ki-ma Ir-ma-A-ur / a-na U-sur-a-Itar / ú Hu-ni-a / lá i-dí-in,0.961,54,,akkadian,"{""corrections_applied"": 0, ""spans_attempted"": 206, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 5.626678466796875e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
page_033,"18 Giri çounluunun REL 80 ve REL 11014 arasinda kalan 30 yillik kisa zaman dilimine ait olduu gösterilmitir; böylece, ikinci tarihe yakin bir zamanda Ali-ahum ve ailesinin de izi kay-bolmaktadr. Elbette ki, bu genel gidiat içinde bireysel durumlarin deiik açiklamalar olabilir. Ali-ahum'un durumunda, arivin bulunduu bu evde aslinda devamli oturmadi, ona ait metinlerin çounun baka yerde aranmasi gerektii düünülebilir; bir baka olasilik, ölmü ya da Assur'a dönmü olduu için Kani'deki varliinn gerçekten de sona ermi ol-masdr; son olarak da, Kani belgelerinin genel olarak sayca birdenbire çok azaldi dönemde, onun da ticari hayati bitmi olabilir. Kiz kardei LamassI'den gelen 533 nolu mek-tup, aile ilerinin o dönemde iyi gitmediine açikça iaret etmektedir. Bu kitapta toplanan metinler, tipik olarak, oldukça mütevaz1 ticari ilemleri kapsamaktadir; REL 107 y1linda, ne-redeyse tamami Anadolululara açilm çok sayda kredinin kayda deer bir toplam tutar olmad1 görülmektedir. Tarihli belgelerin REL 110 yili dolaylarinda ansizin ne neredeyse tamamen ortadan kalkmasi Assur ticari faaliyetlerindeki genel bir düüe balanabilir, ve bu da Ali-ahum'un i hayatinin sona ermi olduu anlamina gelebilir. Ennam-Aur için kan parasi Bu kitapta yer alan ilk dosya, Ali-ahum'un Ennam-Asur'un ölümünden dorudan veya dolayli olarak sorumlu kiilerden kan parasi almak için yapti ve anlalan baarsiz olduu giriimlere ilikin belgeler grubunu kapsamaktadr. Tawniya'daki cinayete yol açan olaylarin arka plani II. kitapta 409-411 ve ayrica 524 nolu metinlerde bulunabilir; buna dayanarak, Su-Aur olu L-qep'in Ennam-Aur'a büyük miktarda gümü borlu olmas ile cinayet arasinda bir ba kurabiliyoruz. Genellikle Ennam-Aur'la balantili olarak adi arivde de-falarca geçen bu La-qep'in, biri REL 105 y1linin onunca ay1 ve ikincisi ayni y1lin birinci ay1 tarihli, toplam 22% mina 5 ekel gümü tutarnda iki ayri borcu vard. Bu borçlar 22½ mina tutarinda tek bir borç halinde birletirilmi ve Ennam-Aur alacakl olarak belirlenmiti. On-dan sonra, herhangi bir açiklama yapilmadan, Itr-ilt'nin ortaya çikarak bu borca kefil olduu, ve üstelik de Ennam-Aur'a, gümü üzerine olan bu borca e deerde bir miktar demir teslim ettii bildiriliyor. Böylece Ennam-Aur bu demiri satarak getirisi içinden kendi parasini alabilecek, ancak bakiyeyi Itur-ili'nin bir temsilcisine geri verecekti. Bu anlama REL 105 yili sonlarinda, iki karde miras kavgasiyla uratiklari dönemde 14 Bkz. Barjamovic, Hertel ve Larsen 2012.",0.982,32,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 540, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 3.600120544433594e-05, ""elements_processed"": 32, ""columns_detected"": 1}"
page_036,"20 ANKARA KULTEPE TABLETLERI II sik gümüü kadn kölenin adna verdik. 16-191/2 mina 3 3/4 eqel gümü ya eritilme esnasin-da ya da normâl/tabi artlardan dolayi azaldi. 6,7: Bu satrlarda geçen §ahis ismi, B. Kienast tarafindan önce ATHE 21 A, 1.3.19; 43, 15'de Zu-ba, sonra FA0S Beih. 1, 1984, 8, 15'de Sú-pá olarak yazilmtir. K. Balkan ise; AS 23'te Ingilizcesi yayinlanan Belleten c. LI, sa. 200, s. 420 ve n. 5'teki makalesinde ismi, Zuba olarak okumakta ve muhtelif yönleriyle ele almaktadir. AKT I 25, 54.57; 45 z. 1 ve 67,15'te de geçen isim, Supa olarak kaydedilmitir. 17-19: Bu satrlardaki ""lu i sa'udim lu ina iertim imti"" ifâdesi içerisinde geçen; sa'udum, AHw s. 1074a'daki sâdu II, sudu ""eriyip yok olmak"", II. kalpta ""erimek, ergi-mek; tasfiye etmek"" ve CAD S s. 59'daki sâdu B ""erimiç olmak, erimek; tasfiye etmek""fiiilinden yapilm bir isim olduu açktr.""i-Sé-ra-tim"" kelimesinin ise; AHw s. 394b'de isertum III, CAD I-J s. 224-5'de isaru'nun feminen formu olarak kabul edilen ise/artu eklinde kaydedilen ve ""normål, normâl miktar""mânâsindaki kelimeyle aynilindan üphe edilmemelidir. Nitekim, CAD M I s. 429b'de, TCL 14 14, 23'den alnti yapilan 5 GIN ina isertim im-ti ifädesi ""normâl miktardan 5 seqel azald""diye tercüme edilmitir. Ifade, aaida siralayacaimiz metinlerde farkl yazl ekilleriyle de geçmektedir: 1) CAD M I s. 430'da, HUCA 39,26'dan aktarilan L 29-569 metni st. 23 v.d. ""x kaspum lu ina sa-ú-dim lu ina isertim im-ti"" cümlesi tercüme edilmemi, ifadenin gümüün tasfi-yesiyle ilgili olduunu belirten kayit konmutur. 2) AfO 12, s. 347 ve AC s. 194, n. 3'te kaydedilen KTP 45: 2[..] ma-na KU.BABBAR 3[ú-]sé-bi4-lá-ma lu i-na [i-]sé-ra-tim lu i-na 5sa-ú-dim 1/3 ma-na i-bi-tí-iq (!) 3) CCT IV 4a 41lu i-na sa-ru-pi-im 42lu i-na é-ra-tim 43mu-tá-e... 4) Kay.13: x+20[....] lu nu-sa-id lu i-[na] 21sé(!)-ra-tim im-tí 5) Yine AfO 12 s. 347'de kaydedilen TC II 14 metni: 213 2/3 GÍN sa §ax-e-dim 225 GIN i-na i-sé-ra-tim 23im-ti .... Bu ifâde içerisinde geçen sa'udum münasebetiyle M.T. Larsen'in OACP s. 42'deki""sa'udum"" ile ilgili açiklamalarina göz atalm: M.T. Larsen, adi geçen yerde P. Garelli'nin sa'udum için ""(eein) koum takim ile münâsebetli materyâlden bir nesne"" dediini ve bunun mümkün olabileceini belirtmektedir. Ayrica, kendisi, sa'udum'da textillerin depo-lanabileceinden ve kayiplarin meydana gelebileceinden bahsederek, kelimenin daha çok textil yüküyle ilgili metinlerde göründüünü, yalniz metal bulunduran yükler sözkonusu olan yerlerde aslâ görünmediini açklamaktadr. Metnimiz ise sadece 12 mina gümü ve bunun nerelere verildiini belirtmekte ve eer kelimeler farkl köklerden deilse M.T. Larsen'in bu konuda yanldiini ortaya koymaktadr. Kanaatimizce kumalarin bahsedildii metinlerdeki sa 'udum ile metallerin bahsedildi-gi metinlerdeki sa'udum'u ayirmamak gerekir. Lugatlerde s ile sa'udum kelimesine rastla-yamam bulunuyoruz. AHw s. 1002 b'deki sâdum ""vurup öldürmek"" fiilinin sözkonusu kelimesiyle irtibati olmasi, sadece kelimeye verilen mâna dikkate alindiinda dahi mümkün görünmemektedir. Biz, sa'udum ile birletirmek istediimiz sa'udum kelimesinin,",0.979,42,,turkish,"{""corrections_applied"": 0, ""spans_attempted"": 165, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 4.9591064453125e-05, ""elements_processed"": 42, ""columns_detected"": 1}"
page_052,"IRFAN ALBAYRAK 32 KIIB I-dí-a DUMU E-na-A-ur KIIB Hu-di-láDUMU A-ga-a 5 14 GiN KU.BABBAR / sa-ru-pá-am i-sé-er (Silindir mühür baskisi B) I-dí-a DUMU E-na-A-ur u Hu-dí-la DUMU A-ga-a Ak. (Silindir mühür basks B) DAM.GAR i-u / i-tù ha-mu-u-tim a A-ur-ma-lik DuMU Sú-kà-li-a Ay. (Silindir mühür baskisi C) 10 a-na 3 ha-am-a-tim / i-a-qú-lu u-ma lá i-qú-lu / ki-ma a-wa-at ka-ri-im 1 1/2 Gin.TA a-na im 1 ma-na-im / i-na ITU.KAM si -ib-tám / ú-sú-bu KU.BABBAR 15 i-na qá-qá-ad ál-mi-u-nu u ke-ni-u-nu / ra-ki-is (Silindir mühür baskisi B) ITU.KAM / qá-ra-a-tum Ai-mu-u]m Uk. I-na-Sú-en6 DUMU Su-[ ] 1-4)u-Itar'in olu Assur-tb'n mührü, Dan-Aur'un olu Aur-nu'nun mührü, Enna-Aur'un olu Idiya'nn mührü, Agya' nin. 5-8)14 eqel saflatrlm gümüü Enna-olu Hudila'nn mührü. Aur'un olu Idiya'nn üzerinden tüccar alacaklidr. nin olu Aur-malik'in haftasindan itibaren, 3 haftaya kadar tartacak. 15-16)Gümü onlarn (ekonomik aç1dan) iyi eqel faiz ilave edecekler. ve hayatta olanlarinin baina balanmtir. u[....]'in olu Inna-Su'en'in senesi. Açiklamalar: St. 8) Bu satrda olduu gibi, borç senetlerinde, borçlu ahsin kimlii aç1k olarak yazilrken, alacakli kiinin DAM.GAR ""tüccar""8-10)Sukkalliya'17-18)Qarrtum ay1,",0.964,44,,akkadian_mixed,"{""corrections_applied"": 0, ""spans_attempted"": 282, ""spans_rejected"": 0, ""cache_hits"": 0, ""cache_misses"": 0, ""avg_latency_ms"": 0.0, ""guardrail_violations"": {}}","{""processing_time"": 5.0067901611328125e-05, ""elements_processed"": 44, ""columns_detected"": 1}"
