pdf_name,page_no,akkadian_text,translation,confidence,status
,0,,,0.0000,
NABU (missing 1999 no.2) (2).pdf,85,"N.A.B.U. 1988 (n°1-mars)
subsiste de savoir s'il s'agit d'un titre civil ou religieux, bien qu'il penche plutôt pour cette demière
solution. Tout récemment enfin, R. J. van der Spek (Grondbezit in het Seleucidische Rijk, 1986, p. 80 sq.) a
repris l'ensemble de la question et proposé que le a rês li soit une fonction religieuse, et que l'assemblée
II éprouve cependant quelque difficulté à rendre compte d'une attestation de Nippur, soit TEBR n°2
(= AO 17641) qui mentionne une communauté de feudataires portant ce titre, appelés ""lú ha-dar á lú-sag uru-
a"" (18-v-année 37 d'Artaxerxès II: corriger en ce sens la datation de Van der Spek, p. 80; le texte
appartient aux archives de Ninurta-ahhê-bullit, fils de Bêlunu, attesté de manière sûre sous Artaxerxès Ⅲ).
Malgré le caractère atypique de l'attestation, il s'agit bien ici encore d'une fonction religieuse, comme le
prouve un autre texte, AO 17623 (= TBER pl. 46, même archive que AO 17641). On y trouve un inventaire
des différents produits utilisés pour une ou plusieurs cérémonies dont le titre n'est pas précisé, avec la
On notera enfin la très intéressante mention de TuM 2/3. 266: 6 (Nippur, année 3 de Artaxerxès I
ou Ⅲ): [...ana ]kal-a u lú-un-fl-me-sú lú-sag uru-a áé u-me-a4 sum, soit: <remis à Damqiya et à ses
kinattâtu, Sa rê ali de l'Eumea l. Le terme de a rês ali désigne donc clairement une fonction à l'intérieur
du temple, l'ensemble de la formule de TuM 2/3, 266 se trouvant éclairé par le parallèle d'un autre contrat de
même époque, et provenant également de Nippur, TuM 2/3, 211 : 25 sq. : ...u mim-ma á ik-kas-Si-du ana
gi-ub-ba lú-bappir-ú-tu mu-me it-ti lú-un-fl-me-ú-nu lú-bappir-me dumu-me s Iab-sum-mu a-na u-mu
L'alternance (qui ne signifie pas l'équivalenc) entre ""lú-sag uru-a  é-u-me-a,"" et ""lú-bappir-me
dumu-me á Iab-sum-mu"" montre que le personnel qualifié de a rês ali à Nippur à l'époque achéménide
participait au culte régulier. Il était rétribué par la possession d'un fief pour l'exploitation duquel il était
regroupé en hadru. Il est fort probable que la fonction était de même nature à Uruk sous les Séleucides, et que
le Rab Sa rê ali Sa bit ilâni a Urukki est à considérer comme le ""Chef du Clergé des Temples d'Uruk"".
11) Die 5 Schreibungen des Namens der Stadt IBuBu in den Ebla-Texten - A. Archi liest in
ARET 1, S.268 i-buy-buki / i-buy-íbki und begründet dies S.220 Anm.3 mit der Variante i-bu-íbki in mehreren
Texten. G. Pettinato, Ebla, Nuovi orizzonti della storia (Milano, 1986), 377f. zieht die Lesung i-lí-buki / i-
li-ibki vor und stützt sich dafür auf ARET 3, 159 VI 2 mit i-li-biki. I-bu-TUM behandelt er als eigene Stadt
Bei der Uberprüfung der Belege für den Ort i-li-bí/NEki (z.B. ARET 8, 521, 8; 523, 31; 526. 20;
529, 2, 27, 30; 538, 14; 540, 11, 34; 541, 23) lässt sich feststellen, dass es sich um eine andere Stadt
handeln muss, denn dort gab es keinen König (en). Die Texte nennen nur einen u g ul a und Händler (lú-
k a r) und der Kontext, in dem sie und ihr Heimatort erwähnt werden, ist stets völlig anders als bei i-NI-
Die Gleichsetzung von i-NI-bu/íbki mit i-bu-íbki durch A. Archi lässt sich durch weitere Texte
bestätigen. Man vergleiche etwa die Belege fur i-NI-bu/bki aus ARET 1, 1 XII 6ff., 3 IV 10ff., 4 IV 4ff., 5 V
12ff., 6 IV 6ff. usw. (s. Index S. 268) mit den Texten aus einem anderen Archiv. Dort findet man in der
Regel die Schreibung i-bu-íbki (ARET 8, 523, 6; 524, 30; 529, 45; 532, 16; i-NI-bu/íbki ist seltener:
Aus einem dritten Archiv stammt die Schreibung i-NE-bu-NIki (MEE 1, 41 Rs. I 6, 169 ⅡI 1, 209 I
12). In dieser Stadt ist auch ein König (e n) tätig (Ebla, Nuovi orizzonti della storia, 378). Was die Identität
dieser Stadt mit i-NI-bu/ibki jedoch beweist, ist die Anordnung des Ortsnamens in vergleichbaren Texten. In
MEE 1, 209 I 1ff. findet man: Ra'ak, Burman, Tub, Imar, Lumnan, I-NE-bu-NI, Ursa'um, Garmu und
[Gudadanum] (mit geringen Abweichungen auch MEE 1, 41 ⅡI 1ff., 169 I 1ff.). ARET 1, 32 I 3 - IV 3 nennt
z.B. die Könige dieser Städte in der Reihenfolge: Ra'ak, Burman, Tub, Imar, Garmu, Lumnan, I-bu-íbki,
Ursa'um, Gudadanum und ibid. 9 I 2 - IV 10 Ra'ak, Burman, Tub, Imar, [Garmu], Lumnan, I-bu-ibki, Ursa'um,
Für diesen Ortsnamen gibt es demnach 5 Schreibungen, die man m.E. in folgender Weise
i-buy-bu
i-buy-b
i-bu-ib
i-bu-buy
i-bi-bubuy (oder i-bi-bubuy).
-7","des gens portant ce titre constitue une sorte de ""Collège du Temple"".
mention, col. iii, 1. 9: ana sum ana lú-sag uru-a, < à donner au a rês li>.
1. Pour l'équivalence lú-un-iíl = kinattu, cf. CAD K, 381 a.
528, 7; 531, 13; nur einmal begegnet i-bu-NIki 525, 40).
=
=
=
=
=",0.6063,OK
PRU III combined.pdf,351,"royale se relàche, la fonction devient I'accessoire du fief, une charge dont le tenancier cherche à se libérer
ou, au moins, à atténuer le poids, en substituant au service personnel des redevances ou des corvées
exécutées par des remplaçants. En méme temps, le caractère patrimonial s'étend aux emplois supérieurs de
ladministration, faisantéchec à Fexercice direct de lautorité royale sur ses agents inférieurs. Les services
rendus par ceux-ci, plus ou moins transformés en prestations de caractère économique, sont perçus à titre
de revenu par les agents supérieurs qui n'en rendent plus compte au trésor royal. Ces phénomènes que I'on
constate à Ugarit ne sont pas exceptionnels et correspondent à une évolution juridique qui semble avoir",LE STATUT DES PERSONNES ET LE DROIT DE LA FAMILLE,0.9000,OK
NABU (missing 1999 no.2) (1).pdf,1962,"L. 20') If one takes seriously the clearly visible third horizontal of what is read here as pa?!-, one
could conceivably read TÀ-r PUR1, but this would seem to make little sense in the context.
L. 21') Cf. ba-ar-a-an-ta-an-ma-kán in iv 14'; see HW2, H, 344a.
Akademie der Wissenschaften und der Literatur, Geschwister-Scholl-Str. 2, D-55131 MAINz (Allemagne)
12) ahzum - Il n'existe pas d'autre moyen, en akkadien, pour dire un mariage, que d'employer l'expression
aatam ahzum, < prendre femme ». Si le premier terme de l'expression signale la seule femme, le sens précis
Les dictionnaires s'accordent pour attribuer à ahzum le sens premier de < prendre>. Or, cette
unanimité est mise en doute par R. Westbrook (AfO Beiheft 23, 1988, pp. 10ss) pour lequel ce verbe ne peut en
aucun cas signifier < prendre physiquement possession d'un bien ou d'une personne. Il ne peut pas
En réalité, le verbe ahzum figure dans des contextes fort différents :
- il signifie < acheter > dans un document paléo-akkadien (E. Sollberger, JCS 10, 1956, pp. 13ss, n° 2;
ce texte est réédité par E. Sollberger in I. Spar, éd., Tablets, Cones, and Bricks of the Third and Second
Millennia B.C., Cuneiform Texts in the Metropolitan Museum of Art, I, New York, 1988, pp. 8-9) aux termes
duquel un certain Qurdum « a acheté », i-hu-uz, une maison pour le prix proposé par les vendeurs et évalué en
argent. C. Wilcke (Early Ancient Near Eastern Law, A History of its Beginning, The Early Dynastic and","11) A Join to the Hittite Atramhasi Myth (KUB 8.63+1718/u) - Hittite (KUB 8.63; 36.74)and Akkadian
(KBo 36.26) fragments of the Atramhasi myth from Boazköy (CTH 347) have long been known, and
A.M. Polvani, Fs. Fronzaroli (2003) 532ff., has recently treated the former. Not long ago I was able to join the
tiny fragment 1718/u, soon to appear as KBo 53.5, to the bottom of KUB 8.63 rev. iv. For one thing, the join
provides the tablet with a findspot, namely Temple I. The join brings one no further in placing the Hittite
fragments in relation to the Mesopotamian material, for which see Lambert and Millard, Atra-bass, 1969. Here
I offer a transliteration, a translation of sorts of what little the join adds, and a short commentary :
p[é-en-ni(?)
L. 19') Cf. ... a-ra-ab-za-an-da Hl-RI-TI[ / na-ak-ki-ia-ab-ta ... in KBo 43.246, 4'-5'. That butanuenzi",1.0000,OK
NABU (missing 1999 no.2) (1).pdf,1962,"verbe avec le sens de < prendre possession ». À dire vrai, ahzum ne signale rien d'autre, dans cette source, que
l'accord entre les parties sur le prix d'achat. Cet accord étant obtenu, le même texte précise que Qurdum
< livre>, i-di-in, les versements surérogatoires, iskin et NI.ZAG, qui sont eux-mêmes indispensables au
- il signifie < employer >, < embaucher > dans un autre texte paléo-akkadien et dans plusieurs sources
paléo-babyloniennes. Le texte paléo-akkadien provient des archives du même Qurädum que précédemment et
s'énonce comme suit: 7 gín kù.babbar l-lul-dingir a-na sag sag ù-la a-hu-uz, < sept sicles d'argent de la part
d'Ilul-il, pour un esclave; je n'emploie plus l'esclave> (CT 50, 72 i 1-4. On ne peut suivre la traduction
proposée par CAD A/1 p. 177a § 3b). On relève toutefois dans ce texte plusieurs singularités : la somme versée
pour prix de l'esclave est inférieure au prix habituel, à cette époque; l'emploi du verbe à la première personne
est unique dans un tel document ; enfin, en ii 4-5, on note que la valeur équivalente (saio) en argent pour un
sicle de cuivre se monte, étrangement, à un sicle d'argent. Ces indices cumulés font penser que l'on est peut-
étre en présence d'un texte scolaire. Selon les sources paléo-babyloniennes (YOS 5, 115: 6; 116: 6; PBS 8/2,","1993, 56, seems unlikely, as someone is told to 'take the butanu-'; vgl. Melchert, CLL, 78.",0.9000,OK
NABU (missing 1999 no.2) (1).pdf,883,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân",NOMS DE PERSONNES,0.9000,OK
NABU (missing 1999 no.2) (1).pdf,883,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân","A+A-na-dEN
A-dar-ri-ia
A-ga-ba-te
dAGi -a-a-ta
Ah-ú-hu-ú (= Xerxès)
Ah-zi-iá-a-u
Apil-ili",0.9000,OK
NABU (missing 1999 no.2) (1).pdf,883,"Qasâ
Rahatum
Rejibah (= Kuwara)
Rejibah Jinub
Rejibah Shamal
Saba'
Sapiratum
Sippar
Sippar (archives récentes de I'Ebabbar)
Súhu
Suhüm elüm
Suhúm Saplúm
Su-qá-qì-imki*
Suse
akumme*
ama-mitu-uballit
Segibbu
Tådum
Taymå'
Tehrân
Tell al-Hamidiya
Tell Farfar
Tell Barri
Tell arisi
Tell 'Ubaid (= Nutur)
Terqa (rois)
Til-Barsip
Tilla
UD.MEki (= Sippar')
Umma
Ura'u
Uruk
U-ur-ma-ta-t[im] (muraille de Nippur OB)
Yabliya
Yarihéens (clan benjaminite)
Zanipatum
Zaslum
Zibnatum
Zikum
Ziniyân","8
8
6
9
9
10
8
5
3
10
8
8
4
11
3
10
8
3
3
3
3
9
2
3
3
5
64, 9
1
7
8
5
8
19
86
19
47
6
6
6
6
35
3
115",0.4728,OK
virolleaud1936.PDF,16,"(14) Baal s'assied sur [le] tro[ne de sa royauté]
(15) (et) le Fils de Dagon, sur [le] siè[ge de sa souveraineté].
(17) (et) le . . ., la voix de la (bete) craintive [?].
(19) dans les (pays) agréables, dans les beaux (pays).
(21) le (taureau) ebr, elle (le) met bas [pour Baal et Had].
(22) et (elle met bas) le bæuf sauvage pour le Chevaucheur des nuécs.
(28) Elle est douce, la voix, dans sa bouche (quand elle dit):
(32) par la vertu (enclose) dans le (vase) jr de tleyt.
(33) Elle appelle le Maitre (= Aleyn-Baal) (pour lui dire) :
(34) < Les bonnes nouvelles de El, an[nonce(-les)] à Baal!
(36) < Et (c'est aussi qu'il y a) un (taureau) ebr pour Baal [et Had?]
(37) < et un bouf sauvage pour le Chevaucheur des nuées.","SYRIA
a Le (vase) gr (29) de mslmt, (je le mets ?) dans le (vase) gr de tleyt.",0.5134,OK
NABU (missing 1999 no.2) (2).pdf,1336,"56) The Old-Assyrian Incantation against Lamatu Kt 94/k, 821, lines 11-13a - In her edition of Kt 94/k,
821, C. Michel transcribes the first word in line 13 as zi-ba-sú.1 Michel does not translate the vocable in her
comprehensive translation, but in the commentary (p. 63) two possible interpretations are offered in
accordance with possible syntactic analyses of the relevant section of the text. What would appear to be a 3 m.s.
pronominal suffix -su < -u can not refer to Lamatu, and speaks strongly in favor of Michel's alternative
analysis of lines 11-13a as a double-accusative structure. The correct reading of the word under discussion,
however, is undoubtedly sí-ma-sú, < his simtu. > For the form of the sign ma, cf. line 1la (transcribed ma!-ra-am
by the editor), where the initial vertical wedge of ma is likewise omitted.² The expression simta nashu also
occurs in the Epic of Erra, IV, 120 (CAD, S, 281b): tim-ma lu-u-hu-ut-ma lu-us-su-ba si-mat-su < I will tear out
the mast and rip out its (the boat's) fittings. > In the present text, at least, simtu would appear to have a more
abstract sense, < proper (healthy) appearance, proper (healthy) complexion, "" not unlike the meaning < proper
appearance > attested with respect to monumental buildings and the like (see CAD, S, 282, meaning 3c). Cf.
simat pani < complexion » (CAD, S, 283a) and note the equation of simtu with zmu < appearance, countenance,
luster » in Malku VII, 1 13.3 The following transcription and translation of lines 11-13a may thus be proposed :
11ma-ra-am ar-ha-am12ta-na-sà-ha-am 13si-ma-sú < She strips the vigorous (lit. 'swift' son of his proper
1. C. Michel, < Une incantation paléo-assyrienne contre Lamatum, > Or 66 (1997) 58-64 and tab. I.
57) La stèle araméenne de Bukân : mise au point épigraphique  Depuis sa publication en persan par Rasoul-
e Bashash Kanzaq, cette stèle araméenne, que j'ai republiée dans Studia Iranica, a fait l'objet de plusieurs
études qui en soulignent l'importancel. Comme I'article récent de M. Sokoloff propose de corriger certaines de
mes lectures jugées < incorrectes > (p. 107), il me parait utile de les examiner ici rapidement à la lumière des
photographies parues entre-temps dans CRAI et que M. Sokoloff n'a pu utiliser.
ses autres < innovations » ne concernent que des restitutions ou des erreurs d'impression de sa part.
d'ailleurs le confirme sa traduction 'from'montrant qu'il lit MN et non HN.
étant sa propre suggestion (< I would suggest.. "" p. 114), alors que cette suggestion est déjà évoquée dans
Studia Iranica, p. 26. En fait, ses restitutions ne different que pour la fin des trois premières lignes :
mais dont le parallélisme avec la formule utilisée ici n'est pas évident; de plus, d'après les photographies, on
peut hésiter entre la restitution d'une ou, plutôt, de deux lettres à cet endroit (cf. CRAI, fig. 4, fin de la ligne 3
VIIIe s., sous le prétexte que ce serait le seul cas d'une graphie pleine dans cette inscription. Il reconnait
pourtant lui-même l'alternance des graphies BT et BYT dans les inscriptions araméennes de cette époque. En
fait, depuis la découverte de I'inscription de Tell Fekheryeh, tout spécialiste d'araméen ancien sait que les
graphies pleines et défectives peuvent alterner, apparemment sans raison, dans une même inscription.
de Rasoul-e Bashash Kanzaq, je propose de lire MYT MR'H tandis que Sokoloff propose de lire WYTMRRH et
que J. Teixidor lit WYTMRDH. À l'examen de CRAI, fig. 4, les deux premières lettres sont incomplètes et il ne
reste que la tête de la première. Cependant une comparaison avec les M de cette fig. 4 (lignes 2, 3, 7, 9) montre
clairement qu'ils commencent tous par un court trait descendant vers la gauche et un angle nettement marqué,
tandis que les W ont soit une tête très arrondie (lignes 2, 3, 5, 7, 8), soit un premier trait descendant légèrement
vers la droite (lignes 4, 6). Paléographiquement cette lettre incomplète est donc plutôt un M qu'un W ; la
lecture et l'interprétation de l'expression lue par Sokoloff semblent donc exclues.","(healthy) appearance.
tablet (p. 61).
3. Cf. SAA III, 48 :11'.
traduction.
pour remplir la lacune : il s'agit donc d'une pure conjecture ;
et fin de la ligne 6);",0.6767,OK
