dataset_id,name,track,source_url,license,license_verified,size_estimate_gb,size_confirmed_gb,raw_size_gb,processed_size_gb,download_mode,selected_sample_size_gb,documents,items_total,pages_total,images_total,lines_total,languages,scripts,annotation_format,ingestion_status,notes,last_updated_utc
funsd,FUNSD,general_multilingual,https://huggingface.co/datasets/nielsr/funsd,CC-BY-NC-SA-4.0,yes,0.02,0.0166,0.0166,0.0164,full,0,199,199,199,199,3699,eng,Latn,JSON_BOXES,ingested,Full dataset ingested as scanned forms benchmark.,2026-05-19T20:04:18Z
cord_v2,CORD v2,general_multilingual,https://huggingface.co/datasets/naver-clova-ix/cord-v2,CC-BY-4.0,yes,2.5,2.31,0.4097,0.0371,stratified_sample,0.4097,260,260,260,260,438,"eng,kor","Latn,Hang",JSON_BOXES,ingested_sample,260-page stratified sample ingested under 10 GB sample rule.,2026-05-19T20:04:18Z
ocrd_gt_vd_sbb,OCR-D GT VD-SBB,general_multilingual,https://github.com/OCR-D/OCR-D-GT-VD-SBB,CC-BY-SA-4.0,yes,0.8,0.743,1.6509,0.0744,stratified_sample,1.6509,1,120,120,120,3942,"deu,fra,lat,nds",Latn,PAGE_XML,ingested_sample,120-page historical PAGE XML sample ingested.,2026-05-19T20:04:18Z
dahn_corpus,DAHN Corpus,general_multilingual,https://github.com/HTR-United/dahncorpus,CC-BY-4.0,yes,0.7,0.536,1.1060,0.0523,stratified_sample,1.1060,1,80,80,80,2021,fra,Latn,ALTO_XML,ingested_sample,80-page ALTO XML French typewritten sample ingested.,2026-05-19T20:04:18Z
ocrd_gt_structure_text,OCR-D gt_structure_text,general_multilingual,https://github.com/OCR-D/gt_structure_text,CC-BY-SA-4.0,yes,1.7,1.54,,,pending,,0,0,0,0,0,historical_multilingual,Latn,PAGE_XML,pending_next_cycle,Not ingested this cycle after meeting historical coverage with OCR-D VD-SBB.,2026-05-19T20:04:18Z
enp_europeana_newspapers,Europeana Newspapers / ENP,general_multilingual,https://www.europeana-newspapers.eu/,pending_verification,no,60.0,,,,sample_only,8.0,0,0,0,0,0,multilingual_european,Latn,PAGE_XML,pending_size_license_verification,Skipped pending explicit license/size verification.,2026-05-19T20:04:18Z
gt4histocr,GT4HistOCR,general_multilingual,https://zenodo.org/records/1344132,CC-BY-4.0,yes,4.0,4.0,,,pending,,0,0,0,0,0,"deu,lat,early_modern_multilingual","Fraktur,Latn",line_pairs,pending_line_level_cycle,Deferred to dedicated line-level cycle.,2026-05-19T20:04:18Z
doclaynet,DocLayNet,general_multilingual,https://github.com/DS4SD/DocLayNet,CDLA-Permissive-1.0,yes,35.5,35.5,,,sample_only,8.0,0,0,0,0,0,multilingual,mixed,COCO,pending_sample_not_started,Deferred after meeting core benchmark quotas from priority datasets.,2026-05-19T20:04:18Z
htr_united_catalog,HTR-United catalog,general_multilingual,https://raw.githubusercontent.com/HTR-United/htr-united/master/catalog.json,catalog_metadata_mixed_dataset_licenses,metadata_only,0.01,0.01,0.0000,0.0000,metadata_only,0,1,1,0,0,0,multilingual,mixed,catalog_json,metadata_ingested,Metadata source retained for future dataset discovery.,2026-05-19T20:04:18Z
ebl_cuneiform_ocr_data,eBL cuneiform OCR data,specialized_akkadian,https://github.com/ElectronicBabylonianLiterature/cuneiform-ocr-data,pending_verification,no,8.0,,,,sample_only,5.0,0,0,0,0,0,"akk,sux",Cuneiform,specialized_sign,pending_specialist_only,Specialist adapter track only; excluded from general benchmark.,2026-05-19T20:04:18Z
cured_transliteration_adapter,CuReD transliteration adapter assets,specialized_akkadian,models/CuReD.mlmodel,local_asset_license_review_required,pending,0.017,0.017,0.0170,0.0000,local_existing,0,0,0,0,0,0,"akkadian_transliteration,sumerian_transliteration",Latn_diacritic_rich,specialized_adapter,pending_specialist_benchmark,Specialist adapter available but no page-level multilingual benchmark records.,2026-05-19T20:04:18Z
oracc_json,ORACC JSON data,specialized_akkadian,https://oracc.museum.upenn.edu/,project_specific_verify_per_corpus,no,3.0,,,,sample_only,2.0,0,0,0,0,0,"akk,sux",Latn_transliteration,specialized_json,pending_specialist_only,Specialist lexicon track only; no page-image pairing yet.,2026-05-19T20:04:18Z
