page_id,page_text,conf_mean,lines_count,warnings,language,correction_stats,reading_order_stats
page_001,"Irfan Albayrak Kültepe Tabletleri IV (Kt. o/k) Kültepe Çiviyazili Metinleri; Kt. T 6 Türk Tarih Kurumu Yayinlari VI/32b Ankara 2006 Anm.: Fotos teilweise unlesbar, vermutete Druckfehler daher oft unverifizier-bar! AKT IV, 1 kt o/k 193 Fund-Nr.: AMM 166-193-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (II) [79+] Datum: (Siegelabr. A) Vs. KIIB En-nam-i-lú DuMU Ku-za-ri 1 KIIB En-nam-A-ur DUMU A-ur-dUTUi K1IB Nu-ur-Itar mu-pá-zi-ri-im a 5/6 ma-na Ku.BABBAR sa-ru-pá-am i-sé-er / Nu-ur-Itar mu-pá-zi-ri-im 5 (Siegelabr. B) mA-lá-hu-um DUMU I-tur4-DINGIR (Siegelabr. A) u.K. i-u-ú i-tù ha-mu-u-[tim] (Siegelabr. C) Rs. a A-ur-ta-ak-lá-ku DuMu Kà-a-dim ù A-ur-DU10 DUMU Kà-ri-a 1 1/2 GíN.TA a-na 1 ma-na-im 10 i-na ITU.1.KAMim ú-sa-áb SAG ITU.KAM a sá-ra-tim li-mu-um a wa-ar-ki o.K. (Siegelabr. A) 1.S. (Siegelabr. C) Ib-ni-dIM DUMU Ba-qú-nim",0.979,45,,turkish,,"{""processing_time"": 1.8596649169921875e-05, ""elements_processed"": 45, ""columns_detected"": 1}"
page_002,"2 AKT IV, 2 kt o/k 165 Fund-Nr.: AMM 166-195-64, Mus.-Nr.: ungeöffnete Hülle Anm.: (VII) [83] Datum: KIIB Sú-sà-a DUMU u-Ku-bi-im Vs. 1 (Siegelabr. A) KIIB U-sur-a-A-ur DUMU Am-ri-a KIIB A-zu DUMU Puzur4-A-ur KIIB u-Be-lim DUMU A-ur-SIPA (Siegelabr. B) a 2 ma-na 12 GíN Ku.BABBAR 5 u.K. (Siegelabr. A) i-sé-er u-Be-lim DUMU A-ur-SIPA (Siegelabr. C) ¯u-Be-lim DuMu A-gu-a i-u i-tù ha-mu-u-tim sa Na-áb-Sú-en6 ù Sú-kà-l-a 10 (Siegelabr. D) 1 1/2 GÍN.TA i-na ITU.1.KAM (Siegelabr. B) o.K. 1.S. a-na ma-na-im ú-sa-áb a-na ITU.KAM sú-pu-um li-mu-um u-da-a 15 DUMU En-na-nim AKT IV, 3 kt o/k 188 Fund-Nr.: AMM 166-188-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (IX) [84] Datum: KIIB Ku-la [DUMU . .. KIIB] Vs. 1 DUMU u'-[... (Siegelabr. A) KI[¯1B] [A-]ur-[DU10 DUMU A-ur-dUTUi] AKT IV",0.979,54,,turkish,,"{""processing_time"": 3.123283386230469e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
page_003,"AKT IV [x ma-na Ku.BABBAR sa-ru-pá-am] [i-sé-er] 5 A-[ur-DU10 DUMU A-ur-dUTU§i] ¯u-Be-lim [i-u] u.K. i-tù ha-mu-u-tim Rs. a Lá-li-im ù A-ni-nim 10 (Siegelabr. C) a-na 15 ha-am-a-tim i-a-qal u-ma lá i-qú-ul ki-ma a-ma-at kà-ri-im sí-ib-tám a-na 1 ma-na-[im] (Siegelabr. C) i-na ITU.[KAM 1 1/2 GíN.TA ú-sa-áb] 15 (Siegelabr. D) o.K. SAG ITu.1.KAM kà-an-ma-ar-ta 1.S. (Siegelabr. D) li-mu-um A-al-DU10 AKT IV, 4 kt o/k 174 Fund-Nr.: AMM 166-174-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (V) [88] Datum: (Siegelabr. A) Vs. KIIB A-ur-mu-ta-bi-il5 1 DUMU u-Be-lim KIIB Bu-za-zu DUMU u-Sú-en6 KIIB En-nam-A-ur DUMU u-ki-tim 1/3 ma-na 1/2 GíN Kù.BABBAR sa-ru-pá-am 5 i-sé-er En-nam-A-ur DUMu u-ki-tim A-gi-a u.K. (Siegelabr. B) i-u i-tù ha-mu-u-tim sa Im-dí-lim ù A-ni-a-nim 2/3 GÍN 15 E K∪.BABBAR 10 Rs. (Siegelabr. C) 3",0.982,54,,italian,,"{""processing_time"": 6.461143493652344e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
page_004,"4 i-na ITU.KAM si-ib-tám ú-sa-áb ITU.KAM ma-hu-ri-lu li-mu-um (unklare Siegelabr.) Bu-zu-zu /a-li ni-na-mu-ru 15 (Siegelabr. A) o.K. K∪.BABBAR ù sú-ba-sú 1.S. (unklare Siegelabr.) i-a-qá-lam AKT IV, 5 kt o/k 148 Fund-Nr.: AMM 166-148-64 Mus.-Nr.: (X) [98] Datum: 1/2 ma-na Kù.BABBAR li−[t] Vs. 1 SIG5tim i-sé-[er] ¯Su-d En-lil [u] A-sur-ni-im-ri Su-Lá-ba-an i-u 5 i-tù ha-mu-u-tim a Pu-u-ke-en6 ù A-ùr-ma-lik a-na 2 ITU.KAM i-a-qú-lu su-ma lá i-qú-lu 10 u.K. ki-ma a-wa-at kà-ri-im si-ib-tám ú-sú-bu ITU.KAM Rs. teg-i-na-tim li-mu-um Ku-bi4-a 15 K∪.BABBAR i-qá-qá-ad sál-mì-u-nu ra-ki-is IGI DU10-sú-lá-A-ùr IGI En-um-A-sùr AKT IV",0.982,48,,italian,,"{""processing_time"": 4.3392181396484375e-05, ""elements_processed"": 48, ""columns_detected"": 1}"
page_005,"AKT IV AKT IV, 6 kt o/k 134 Funf-Nr.: AMM 166-134-64 Mus.-Nr.: Albayrak, ArAn 7/2, 5; Lit.: (X) [99] Datum: Vs. 2 ma-na 9 GíN 1 Ku.BABBAR sa-ru-pá-am i-sé-er En-um-A-ur DUMU u-ki-tim ù a-áp-ta-ma-ni-kà 5 Ilz-ba-ni DUMu I-a-a i-u i-tù ITU.1.KAM té-i-na-tim u.K. DINGIR / a-pá-tám 10 i-li-ik-ma 1 1/2 GÍN.TA Rs. i-na ITU.1.KAM im a-na 1 ma-na-im s-ib-tám ú-sú-bu 15 []i-mu-um [¯-l]í-da[n [DU,U E]-lá-li [. . . ]-x-ti-a IGI E[n-u]m]-A-ur 20 AKT IV, 7 kt o/k 194 Fund-Nr.: AMM 166-194-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (VII) [101] Datum: K1IB dIM-ba-ni DuMU Kà-na-a 1 Vs. (Siegelabr. A) KIIB En-na-Sú-en6 DUMU A-bu-bu KIIB Da-da-a-a DUMU Lá-li-im 5",0.976,54,,turkish,,"{""processing_time"": 3.361701965332031e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
page_006,"6 16 GíN Ku.BABBAR sa-ru-pá-am i-sé-er Da-da-a-a 5 (Siegelabr. B) tám-kà-ru?-um? i-su NB: Foto undeutlich (Siegelabr. C Rs. i-tù ha-mu-tim (Siegelabr. D) a I-na-a-a DuMu E-lá-l 1 1/2 GÍN.TA <i>-ITU.1.KAM 10 a-1 ma-na-im ú-sa-áb ITU.KAM s-ip-im li-mu-um A-ur-na-da DUMU i-lí-bi4-na-ni (Siegelabr. A) lu i-na a-limki lu i-na GÁNlim o.K. (Siegelabr. A) 1.S. 15 a-li i-na-mu-ru-ni (Siegelabr. B) Kù.BABBAR ú sí-ba-sú i-a-qal AKT IV, 8 kt o/k 76 Fund-Nr.: Mus.-Nr.: AMM 166-76-64 (XI) [102] Datum: [x] GíN Ku.BABBAR sa-ru-pá-am Vs. 1 15 sìLA tá-áb-tám i-sé-er Id-na-[a] DUMU Puzur4-Itar [u] Da-da DUMU Du-[.. . 5 I-dí-A-ur i-u i[-tù] ha-mu-u-tim [¯a] A-ur-ma-lik a-[na x] [ITU].KAM i-¯[a]-qú-[lu] u.K. [¯u]-ma lá i-quú-lu 10 k[i]-ma a-wa-at Rs. kà-ri-im sí-ib-tám AKT IV",0.977,53,,italian,,"{""processing_time"": 4.792213439941406e-05, ""elements_processed"": 53, ""columns_detected"": 1}"
page_007,"AKT IV ú-sú-bu ITU.KAM ku-zal-lu li-mu-um 15 I-ku-pí-Itar AKT IV, 9 kt o/k 129 Fund-Nr.: Mus.-Nr.: AMM 166-129-64 (VII) [103] Datum: 1/2 ma-na Kù.BABBAR Vs. 1 sa-ru-pa-am i-sé-[er] A-sur-ma-lik Dan-A-ur i-u a-na 30 ha-am-[]a-[t]im 5 i-be-el u-ma i-na ú-mì-u ma-al-ú-tim lá i-qú-ul 10 ki-ma a-wa-at kà-ri-im u.K. s-ib-tám Rs. ú-sa-áb i-tù ha-mu-<u>-tim a Dan-[A-ur] ITU.1.KAM sú-ip-im 15 li-mu-um Pu-zu-ta-a IGI A-ur-GAL DUMU En-na-nim IGI A-gi5-[a] [DUMU .. NB: nach Foto 20 AKT IV, 10 kt o/k 189 Fund-Nr.: AMM 166-189-64 Mus.-Nr.: Anm.: ungeöffnete Hülle (V) [108] Datum: 7",0.985,51,,turkish,,"{""processing_time"": 4.57763671875e-05, ""elements_processed"": 51, ""columns_detected"": 1}"
page_008,"8 (Siegelabr. A) Vs. KIIB Ér-ra-ANANDUL DUMU A-ur-i-dí 1 KIIB A-mur-dUTU DUMU I-ri-i-im KIIB Im-li-ik-i-li-im íRdim a I-di-Ku-bi4-im (Siegelabr. B) (Siegelabr. A) u.K. Rs. (Siegelabr. A) 11 GíN Ku.BABBAR sa-ru-pá-am 5 i-sé-er Im-li-ik-i-li-<im> DAM.QAR i-u i-tù (Siegelabr. C) o.K. ha-mu-u-tim a Kur-ub-Itar 10 m[u]-u-ta-qí-tim a-na 4 ha-am-a-tim i-a-qal u-ma lá i-qú-ul 1/3 GíN 14 E.TA 1.S. i-ITU.1.KAM sí-ib-tám ú-sa-áb IT[u].1.KAM áb-a-ra-nu li-mu-um 15 En-na-Sú-en6 DUMu u-A-ur AKT IV, 11 kt o/k 166 Fund.-Nr.: AMM 166-166-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (V) [108?] Datum: (Siegelabr. A) Vs. KIIB A-ur-DU10 DUMU u-Itar 1 KIIB A-ur-ni-u DuMU Dan-A-ur KIIB I-dí-a DUMU E-na-A-ur KIIB Hu-tí-lá DUMU A-kà-a 14 GíN Ku.BABBAR / sa-ru-pá-am i-sé-er 5 (Siegelabr. B) I-dí-a DUMu E-na-A-ur ù Hu-tí-la DUMU A-ga-a (Siegelabr. B) u.K. DAM.QAR i-u /i-tù ha-mu-u-tim a A-ur-ma-lik Dumu Sú-kà-li-a AKT IV NB: Warum nicht 15 E.TA?",0.979,57,,turkish,,"{""processing_time"": 3.337860107421875e-05, ""elements_processed"": 57, ""columns_detected"": 1}"
page_009,"AKT IV (Siegelabr. C) Rs. 10 a-na 3 ha-am-a-tim / i-a-qú-lu u-ma lá i-qú-lu / ki-ma a-wa-at kà-ri-im 1 1/2 GíN.TA a-na √im 1 ma-na-im / i-na ITU.KAM'sú-ib-tám / ú-sú-bu Kù.BABBAR 15 i-na qá-qá-ad ál-mì-su-nu ù ke-ni-u-nu / ra-ki-is (Siegelabr. B) ITU.KAM / qá-ra-a-tum l[i-mu-u]m o.K. I-na-Sú-en6 DUMu u-[A-ur] AKT IV, 12 kt o/k 169 Fund-Nr.: AMM 166-169-64 Mus.-Nr.: ungeöffnete Hülle Anm.: (VI) [113] Datum: (Siegelabr. A) Vs. KIIB SIG5-pí-A-ur DUMU I-ku-pí-a 1 KIIB A-ur-mu-ta-bi-il5 DUMU Púzur-A-ur KIIB Qá-ta-tim DUMU A-zu-za-a (Siegelabr. B) 3 GíN Ku.BABBAR sa-ru-pá-am (Siegelabr. B) u.K. (Siegelabr. A) Rs. i-sé-er Qá-ta-tim DuMu A-zu-za-a 5 DAM.QAR i-u i-tù ha-mu-u-tim a A-hu-wa-qar ITU.KAM hu-bu-ur li-mu-um I-li-a-lim a-na 8 ha-am-a-tim i-a-qal u-ma lá i-qú-ul 1/4 GÍN.TA i-na ITU.1.KAM 10 si-ib-tám ú-sa-áb K∪.BABBAR i-na ú-im-tim i-ri-ih (Siegelabr. C) o.K. 1.S. (Siegelabr. A) 9",0.971,54,,italian,,"{""processing_time"": 3.147125244140625e-05, ""elements_processed"": 54, ""columns_detected"": 1}"
page_010,"10 AKT IV, 13 kt o/k 58 Fund-Nr.: Mus.-Nr.: AMM 166-56-64 Duplikat zu ICK I 119; Mus.-Nr. korrekt? Anm.: (II) [,139""+] Datum: Vs. 16 GÍN KU.BABBAR 1 sa tám-kà-ri-im Lá-qé-pu-um a-na Púzur-Itar 5 DUMU A-ta-a-a i-dú-in ITU.KAM a sà-ra-tim u.K. li-mu-um sa qá-té-e Rs. A-ùr-ba-lá-at 10 IGI A-tù-ma-an DUMU A-ùr-lá-ma-s IGI Itar-il5-u DUMU I-ku-nim AKT IV, 14 kt o/k 102 Fund-Nr.: Mus.-Nr.: AMM 166-102-64 3 2/3 ma-na 8 GíN Vs. 1 Kù.BABBAR / a tám-kà-ri-im A-ùr-mu-ta-bi4-il5 Sà-ha-ar-li ù I-dú-Ku-bu-um 5 il5-qé-ú i-tù ha-ra-nim i-tù-ru-ni-ma 3 2/3 ma-na 8 Gí[N] Kù.BABBARáp -u tám-kà-ru-um i-lá-qé-ma u.K. 10 ne-ma-lam 3 u-nu Rs. i-zu-zu Ku.BABBAR eq-lam a-u-mì 3 u-nu-t e-tá-iq Ku.BABBAR a-num sa A-ùr-mu-ta-bi4-il5 15 AKT IV",0.978,58,,italian,,"{""processing_time"": 3.218650817871094e-05, ""elements_processed"": 58, ""columns_detected"": 1}"
