,text,orientation,language,mean_confidence,used_original_text,time,scale
0,"


 

In Praise of
Play, Leisure,
and Vacations

AL GINI

author of My Job, My Self

Also available as a printed book
see title verso for ISBN details

 ",0.0,eng,95.69088529629632,False,1648423345.655877,1.75
1," 
More praise for Al Gini s The Importance of Being Lazy
“Al Gini is to philosophy what Edison was to engineering—he
subjects Great Ideas to the service of the common good. His reading
of the human condition leads him to the conclusion that we need to
take things a little more easy. Now I have powerful ammunition the
next time someone wants me to get out of the hammock.”
—Peter Sagal, Host of NPR’s Wait Wait…Don’t Tell Me!
“By degrees both scholarly and whimsical, and written by one of the
hardest working people in leisure studies today…Al Gini delivers a
brilliant narrative on the history of leisure as well as its ongoing
necessity for workaholics today…This is an essential book.”
—Daniel Born, editor of The Common Review, The Great Books
Foundation.
“For all of us hyper-programmed, over-committed, Type-A
workaholics, Al Gini has the prescription for what ails us: Put down
the Palm Pilot and cancel the meeting. It’s time to unplug, unwind,
and rediscover the joy of play. God bless him.”
—Steve Edwards, Host, Eight-Forty Eight, WBEZ-FM Chicago
Public Radio
“This exquisitely researched offering provides sharp insight and a
new perspective into why Americans must take vacations, why many
feel they must escape if only for two weeks a year the ever-growing
demands of what has become a pulverizing and dehumanizing daily
grind”
—John Eckberg, career and workplace reporter for the Cincinnati
Enquirer
“Gini is so persuasive I kept putting the book down to go out and
play!”
—Eric Zorn, columnist for the Chicago Tribune
“With wit and grace Gini examines the meaning of leisure and
challenges readers to reflect on how they spend their time.”
—Joanne B.Ciulla, Ph.D., Professor, Coston Family Chair in
Leadership and Ethics, Jepson School of Leadership Studies
“It’s a measure of how twisted our work-based minds have gotten, that
we need a book like this one to persuade us that enjoying ourselves
is okay. But need it we do, and Al Gini makes a compelling case that
",,eng,,True,1648423345.676932,
2,"a life without play or leisure is a life missing in action, without
discovery, growth, and an ingredient we seem to have forgotten: fun”
—Joe Robinson, author of Work to Live
“Having previously explored our cultural obsession with work in My
Job, My Self, Al Gini now takes us on a fascinating journey through
leisure. He brings to this topic a philosopher’s mind and a humorist’s
wit…Illustrating his discussions with examples from his own life,
Gini never lets us forget that he is as immersed in these realities as
the people he studies. The Importance of Being Lazy solidifies Al
Gini’s reputation as a leading philosopher of contemporary American
culture.”
—Ronald M. Green, Director, Ethics Institute, Dartmouth College
“Al Gini reminds us that work is not all there is to life. The
Importance of Being Lazy offers a timely reminder that ‘all work and
no play’ makes Jack (and Jill) pretty dull adults.”
—Gregory R Augustine Pierce, author of Spirituality @ Work: Ten
Ways to Balance Your Life On-the-Job, President and Co-publisher of
ACTA Publications, Chicago, IL
“Wonderfully entertaining, informative and thought-provoking—a
delight to read.”
—Allan Cox, author of Confession of a Corporate Headhunter 
ii
",,eng,,True,1648423345.682435,
3,"The Importance of Being Lazy
In Praise of Play, Leisure, and Vacations
",,eng,,True,1648423345.6832519,
4,"The Importance of Being
Lazy
In Praise of Play, Leisure, and
Vacations
AL GINI
Routledge
New York and London
",,eng,,True,1648423345.683707,
5,"Published in 2003 by
Routledge
29 West 35th Street
New York, NY 10001
www.routledge-ny.com
Published in Great Britain by
Routledge
11 New Fetter Lane
London EC4P 4EE
www.routledge.co.uk
Copyright © 2003 by Taylor & Francis Books, Inc.
Routledge is an imprint of the Taylor & Francis Group.
This edition published in the Taylor & Francis e-Library, 2005.
“To purchase your own copy of this or any of Taylor & Francis or Routledge’s collection of
thousands of eBooks please go to www.eBookstore.tandf.co.uk.”
The quotation on p. 90, from The Price by Arthur Miller, © 1968 by Arthur
Miller and Ingeborg M. Miller, Trustee. Used by permission of Viking
Penguin, a division of Penguin Group (USA) Inc., and by permission
“International Creative Management Inc.” © 1968 by Arthur Miller.
All rights reserved. No part of this book may be reprinted or reproduced or
utilized in any form or by any electronic, mechanical, or other means, now
known or hereafter invented, including photocopying and recording, or in
any information storage or retrieval system, without permission in writing
from the publisher.
Cataloging-in-Publication Data is avaliable from the Library of Congress 
ISBN 0-203-48859-8 Master e-book ISBN
ISBN 0-203-57594-6 (Adobe eReader Format)
",,eng,,True,1648423345.689627,
6,"To Mary Koenig, whose work put this book together.
To Damon Zucca, whose encouragement made this
book possible.
To Sherry Gini, who makes life a pleasure and every
vacation an adventure!
",,eng,,True,1648423345.690847,
7,"If all the year were playing holidays, To sport would be as tedious as to
work; But when they seldom come, they wished for come.
-William Shakespeare’s Prince Hal, King Henry IV, Part 1 
",,eng,,True,1648423345.692493,
8,"Contents
 
prologue The Project and the Problem
 
1
one 
The Other Side of Leisure: Work, Damn it!
 
9
two 
Leisure and Culture:The Importance of Being Lazy
 
18
three 
Vacations and Traveling
 
29
four 
Minivacations: The Weekend
 
43
five 
Shopping as Leisure and Play
 
53
six 
Sports and Play
 
68
seven 
The Ultimate Vacation: Retirement
 
79
epilogue 
Sabbath as Metaphor
 
96
 
notes
 
109
 
about the author
 
118
 
index
 
119
",,eng,,True,1648423345.6948638,
9," 
",,eng,,True,1648423345.7043898,
10,"prologue
The Project and the Problem
More men are killed by overwork than the importance of the
world justifies.
—Rudyard Kipling
The history of labor and work is long and convoluted. The history of not working
is short. Paid downtime, vacations, leisure are, for the vast majority of working
folks, perks of the postindustrial age. Clearly, Melville’s whalers, Dickens’s
sweatshop workers, and Sinclair’s meatpackers knew nothing of holidays, sick
time, and personal days off.
What many of us now take to be a standard part of the annual rights of summer—
time off, travel, organized play—was, until recently, the exclusive preserve of
the aristocracy, the landed gentry, and the nouveau rich. It is only since World War
II that the general American workforce has taken to the roads with a vengeance,
spent quality time with the kids in a cabin in Connecticut, or traveled to Europe
and beyond. And it is only since the success of Disneyland that the travel
industry has committed itself to the goal of offering every man, woman, and
child in America the opportunity to spend two weeks on the “Love Boat Cruise”
of their choice. 
My thesis is a simple one. Even if we love our jobs and find creativity,
success, and pleasure in our work, we also crave, desire, and need not to work. No
matter what we do to earn a living, we all seek the benefits of leisure, lassitude,
and inertia. We all need to play more in our lives.
As a nation, by living out the virtues of our Puritan past and pioneering
forefathers, we have achieved unparalleled success. In being “dutiful soldiers”
and “diligent in our toil,” we have created a land of riches and opportunity Of
course, there are some real downsides connected to our collective efforts and
achievements.
Like it or not, too many of us, out of desire or necessity, choice or chance, put
too much time in on the job. We have made a fetish out of work. It’s now part of
our character and culture. We have become addicted to the promise of work.
Work promises we will get ahead. Work promises power, money, and influence.
Work promises we will be accepted, respected, successful. And so, we work. We
",,eng,,True,1648423345.713653,
11,"work because we want to, because we need to. We work out of habit and desire.
We work to occupy time. We work to establish our place in the pecking order, to
guarantee status and prestige. And, too often, we work because we simply don’t
know what else to do with ourselves, because we think we must and should.
But even if we don’t overwork, even if we are not certifiable workaholics,
work still preoccupies our lives. Most of us will spend the majority of our adult
conscious life on the job. It has simply become standard to respond to the
conventional salutation of “Hello, how are you?” with some version of the
refrain “I am so busy!” Unfortunately, we say this to one another with no small
degree of pride, as if our exhaustion were a trophy and our ability to keep going
a mark of real character. As theologian Wayne Muller has pointed out: “The
busier we are, the more important we seem to ourselves and, we imagine, to
others.” Sadly, to be busy, to be unavailable, has become the model of the
successful life.1 
Although we use being busy as our mantra and our model, there is some
research suggesting that even though we claim to adhere to the strict
interpretation of the Protestant work ethic, most of us in fact really don’t “walk
the talk” or put in as much time on the job as conventional wisdom would lead
us to believe. In a 1997 study titled Time for Life: The Surprising Ways
Americans Use Their Time, the time use experts John Robinson and Geoffrey
Godbey of Penn State University argue that despite all the intrusions and
demands upon people’s lives these days, Americans in the 1990s have more
leisure than ever before. Not everyone of course. A working single mother of two
children doesn’t have as much time as a sixty-five-year-old empty nester. And,
of course, a married father of four isn’t as carefree as a twenty-year-old single
male. But in general, say the authors, Americans are working less than they did
thirty years ago—about fifty hours per week, which includes paid work time,
household chores, and commuting. And Americans, say the authors, now enjoy
close to forty hours of leisure per week, five more hours than we had in 1965.
“People think they are working longer hours,” says Godbey, “but in reality, they
mistake the pace of work for length of time spent working. On average, the
number of hours people spend working has diminished.”2
Needless to say, this is a controversial thesis and one that has received a lot of
criticism because it seems to directly counter the pace and feel of our lives. The
authors, however, aren’t surprised by this reaction. The problem, they claim, is
that the society we live in values and measures time—“being busy has become a
status symbol.” We constantly brag about being busy, say the authors of the
report, because being busy means we are important. Hence, when people are
asked how many hours they work, eat, tend to children, do chores, and so on,
they exaggerate. So instead of just asking them, Robinson and Godbey required
their ten thousand survey participants to keep a minute-by-minute, 24–hour diary
of how they spent their days. The results were surprising. When asked, women
claimed that they put in 40.4 hours per week on the job, and men claimed they
2
THE IMPORTANCE OF BEING LAZY
",,eng,,True,1648423345.726354,
12,"put in 46.2 hours. When calculated from diary entries, women actually put in 32
hours per week and men worked 40.4 hours per week.3
Robinson and Godbey’s research wants to change the agreed-upon number of
hours we claim to be on the job. I think their numbers are wrong. I think they are
way too conservative. But no matter the exact numbers, it doesn’t change how
this society sees itself and deals with the issues of work, time, and self-
importance. Although it may well be true that people mistake working faster and
being more rushed with working longer, Robinson and Godbey’s data also
indicate and reinforce the overall thesis that busyness, constant rushing, and
stress are huge problems in our society. Numbers aside, the point is that the
feeling of being pushed, overworked, or too busy is primarily about attitude,
concentration, and orientation, and not just about the actual hours we put in on
the job. There may be lots of debate about how much time Americans spend
working, but there’s no disputing that it “feels” like we’re working more. When
it comes to feeling busy—no matter what they told you in logic class—
perception is reality!
Of course, just because we put in so many hours on the job doesn’t mean we
like it. But love it or hate it, work sets the pace and establishes the rhythm for
everything else we do in life. Alexis de Tocqueville may have been the first to
recognize and report on the energy and busyness of Americans, both in their
work and in their private lives, but he was by no means the last. James Gleick, in
Faster: The Acceleration of Just About Everything, reflects on why Americans
(and, increasingly, the world) work and play as hard and intensely as they do.
Gleick suggests that we have always been time and task obsessed, but now due to
the “rapid heartbeat of technology” we can squeeze more and more of everything
into the allotted time span. We are now manic about speed, says Gleick. The world
now seems to operate on five-minute intervals. We are rush freaks. We are time
obsessed. “Lose not a minute” is the motto of the age. We are always making
haste. Multitasking isn’t an option, it’s a way of life. Hyperactivity is the norm.
As Gleick sees it:
We humans have chosen speed and we thrive on it—more than we
generally admit. Our ability to work fast and play fast gives us power. It
thrills us. If we have learned the name of just one hormone, it is
adrenaline. No wonder we call sudden exhilaration a rush. “Your life is
lived with the kind of excitement that your forbearers knew only in battle,”
observes the writer Mark Helprin. And: “They unlike you, were the
prisoner of mundane tasks. They wrote with pens, they did addition, they
waited endlessly for things that come to you instantaneously, they had far
less than you do, and they bowed to necessity, as you do not. You love the
pace, the giddy, continual acceleration.” Admit it—you do!4
Here’s the problem. When life becomes an Olympic endurance event (“the
Everydayathon”), when the stopwatch is always ticking, when are we supposed
PROLOGUE
3
",,eng,,True,1648423345.7395499,
13,"to have fun? When will there be a time to be human?5 As Benjamin Kline
Hunnicutt, professor of leisure studies, so aptly put it, “Having to go so fast to
keep up, we miss stuff—our existence is truncated. Some things simply cannot
be done going full speed: love, sex, conversation, food, family, friends, nature. In
the whirl, we are less capable of appreciation, enjoyment, sustained
concentration, sorrow, memory.”6
I think, if we can be honest with ourselves, we all do too much or try to do too
much. My mother used to accuse me of having “eyes bigger than your stomach.”
She told me that I both literally and figuratively put too many things on my
plate. “Alfredó,” she’d say, “You do too much. Slow down, take smaller bites, or
you’re not going to enjoy anything. “Piano, piano arrive sano!” (Slowly, slowly,
and you’ll get there surely, safely!)
Even when we ‘re not at work, when we’re not on the clock, we consume time
by constantly doing things and staying busy. Weekends are whirlwinds of
activity. Vacations often resemble a blitzkrieg of organized movement with
every moment of the trip preplanned and orchestrated for maximum efficiency
and, of course, pleasure! For example—“Twenty-one countries in 14 days:
Airfare, ground transportation, guides, lodging, meals, wine but not cocktails,
and all tips included!”—perfect, don’t you think? At the risk of sounding like a
Jean-Paul Sartre wannabe: “We just don’t do no-thing well!”
Here’s a series of statistics I think more accurately reflects how long we work
and how we spend our time. According to the Harvard Health Letter, leisure time
has dramatically eroded in recent decades, down to approximately 16.5 hours,
per person, per week. The Bureau of Labor Statistics claims that dual-income
married couples are now the most common type of household unit in America,
numbering 31 million, or 39 percent of all working households. On average,
these married couples work 26 percent longer each year than similar married
couples did 30 years ago.7 In the 1950s, commentators worried about how we
would all use the extra unstructured leisure time that was being generated by the
“automation revolution.” Ha! Instead of free time, we ended up with a national
epidemic of overwork, stress, and too little time for work or rest. A recent
surgeon general’s report declared that the lack of “leisure-time physical activity”
has become a serious health threat. About one in four American adults reports not
having time to participate in any form of physical activity.8 Finally, besides more
of us working more hours per week than ever before, more of us are working
more weeks a year than ever before. According to a report issued by the United
Nations, U.S. workers average 49.5 weeks of work each year.9
Joe Robinson, former editor of the travel magazine Escape, used to make a
living by going on vacation. Robinson claims that “we’re the most vacation-
starved country in the industrial world!” In this society, says Robinson, we
perversely allow “downtime for machinery for maintenance and repair, but we
don’t allow it for the employees.” America’s most hazardous work-related
illness, says Robinson, is “vacation deficit disorder” or “vacation starvation.”
Robinson believes that every American should, by federal law, be guaranteed a
4
THE IMPORTANCE OF BEING LAZY
",,eng,,True,1648423345.752594,
14,"minimum three-week vacation per year with pay, increasing to four weeks after
three years. For Robinson, life is too short—so, “work to live” don’t “live to
work.” “Workers and travelers of America, unite! We have nothing to lose but
our stress!”10
Robinson and the surgeon general are not alone in their warnings regarding the
lack of leisure and vacation time and potential health issues. A fourteen-year
study of 12,866 men published in The Journal of Psychosomatic Medicine found
that annual vacations sharply reduced the risk of death in middle-aged men.
Similarly, a twenty-year study of 749 middle-aged women by the Centers for
Disease Control found a direct link between a lack of vacations and a higher risk
of heart attack and death. At the University of Essex, England, researchers found
a link in women between working more than forty-eight hours a week for more
than three years and high blood pressure, as well as ailments of the arms, legs,
and hands. Finally, the National Institute for Occupational Safety and Health
claims that demanding jobs that give employees little control over their work
increase the risk of heart disease. Conclusion: “Vacations may be good for your
health.”11
Unfortunately, too many Americans, primarily men, but increasing numbers of
women too, only alter their patterns, habits, and lifestyles when they absolutely
have to. On more than one occasion, I’ve bumped into a male friend I haven’t
seen in years who has lost weight, is sporting a fresh tan, and is looking great.
Almost invariably his response to my question “What’s new?” is some version of
“I had a heart attack, a stroke, cancer surgery, or_______[fill in the blank]. It
made me think. It made me see the handwriting on the wall. It made me change.”
On many more occasions, however, I’ll bump into a widow of an old friend who
will relate a similar scenario, but with a much less happy outcome. Sadly,
sometimes we give ourselves permission to change only when we’re confronted
by a crisis that we can use as an excuse.
In a cover story in the Utne Reader, Mark Harris argues that most children
don’t live their lives by a day planner, Palm Pilot, or a Rolodex. Kids live life in
the moment. They use their imagination to seek out adventure, silliness, and
laughter at every opportunity. A child’s world, says Harris, despite parental rules
and regulations, is simmering with fun. Children, says Harris, are masters of play.
They need to play It’s what they do. It’s the way they ingest the world. It’s the
way they learn. By acting out or playing out a situation they acquire cognitive
and motor skills. In play, they create a map of reality and come to know and
define the other players in the game. Play, says the psychiatrist Lenore Terr, is
not frivolous. It is one of the ways we become human. Play, like laughter, says
Terr, is crucial at every stage of life. Play, for both children and adults alike,
helps us unlock the door to the world and ourselves. Sadly, Terr concludes, the
rush of modern life means less spontaneity, more scheduling, and the slow
erosion of the time and opportunity to play.12
All of us need to play more. All of us need to “vacate” ourselves from our jobs
and the wear and tear of the “everydayness” of our lives. All of us need to get
PROLOGUE
5
",,eng,,True,1648423345.7670689,
15,"absorbed in, focused on, something of interest outside of ourselves. All of us
need escape, if only for a while, to retain our perspective on who we are and who
we don’t want to be. All of us need to gain some feeling for, some knowledge of,
the differences between distraction and insight, merriment and meaning,
entertainment and recreation, laziness and leisure, rest and inertia.
The ability to play, to go on vacation, to take long walks, to have a quiet
weekend, to have time to think, should not be perceived as a perk or privilege. We
need not always be doing. In fact, we must all try to studiously do less, in order
to be more. 
If we are what we do, then to a great extent, as adults, we are defined by our work
and our play. Both of these basic patterns of behavior influence not only how we
define ourselves but how we understand and interpret reality and how we make
ethical choices about our lives and our interactions with others. Therefore,
depending upon who we want to be, and how we want to be known, we must be
very careful in our choices of what we do for a living and how we choose to play.
Remember, to borrow a couple of rather classic phrases, “leisure can be the basis
of culture,” the “enzyme of a quality life,” or it can simply be “the catalyst for
camp and kitsch.”
This book is a brief breakdown of what we do when we are not on the job. It’s
a look at how we rest, recreate, and play. It’s a window into why we venerate
vacation time, how we spend our time and money when not on the job, and why
we all work so very hard at trying to have fun. This slim text does not attempt to
cover every conceivable vacation option from Alaska to Zimbabwe. As the
Chicago radio mogul Pat Fitzpatrick said to me, “Whatever you do keep it short!
Who’s got time to read a lot of stuff about leisure?” Nor does it attempt to
address all the possible definitions, differences and nuances regarding the terms
recreation, and re-creation, leisure, play, jobs, and work. (According to Wayne
Booth, scholar and bibliophile, such an endeavor would require a lifetime. The
University of Chicago library alone contains 32 books on recreation and re-
creation, 119 books on leisure, 150 books on play, and literally thousands of
books on the various aspects of work, jobs, and careers in our lives.13)
This book is a highly eclectic, idiosyncratic, and hopefully philosophical
survey of how we play and why we need leisure in our lives. I believe that
Thomas Carlyle was wrong, or at the very least exaggerating, when he said: “Work
is the grand cure of all of the maladies and miseries that ever beset mankind”
(italics mine). I believe that the purpose of life is probably closer to pleasure and
play than it is to simple drudgery and toil. Unfortunately, I also believe, too
many of us confuse leisure and play with mindless distractions, excessive
consumerism, and do-nothing laziness.
Having said all of this, let me warn those readers who are looking for a single
theory or formula by which to achieve leisure in their lives that they will be
disappointed in what follows. Yes, there is some theory involved in the pursuit
of leisure. Yes, there is some study and preparation required to achieve leisure.
But, in the end, we learn leisure by living it. It’s about giving ourselves over to
6
THE IMPORTANCE OF BEING LAZY
",,eng,,True,1648423345.781416,
